# overall_metrics
,overall
accuracy,0.6489361702127658
macro_f1_score,0.5481592678309922
macro_recall,0.5834251139844618

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6016873092802012,0.7531839021905248,0.0856622114216282,0.7841749089016138
recall,0.7156276686592655,0.6224607936006735,0.32752613240418116,0.6680858612737273
f1-score,0.6537298878595806,0.6816112487754279,0.1358054418492656,0.7214904928396954
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3352.0,271.0,492.0,569.0
cycle,806.0,5914.0,1477.0,1304.0
pt,179.0,200.0,282.0,200.0
drive,1234.0,1467.0,1041.0,7532.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.006387287911533843,0.012702349908886879,-0.00403674787271552,-0.0022783148524740606
distance,-0.05352139599925598,0.03868951704940196,-0.005244476709301362,0.020076354980684767
dur_walking,-0.06791074554481027,0.02026964686525903,-0.028867069416672046,0.07650816767769729
dur_cycling,-0.019281614197034915,0.03065586253991243,-0.007381999871285203,-0.0039922489442143615
dur_pt_access,-0.0020753716288159836,-0.024787910976428035,0.01432966963973148,0.012533612707337823
dur_pt_inv,-0.007955199522848504,-0.02422333461680303,0.020400459845803846,0.011778074052284336
dur_pt_int_total,0.00030472225503038825,-0.013135584312048065,0.0009750263411055749,0.011855835245398813
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.004416714328001595,0.07312841482296163,0.03798889464243182,-0.11553402407226107
cost_transit,0.009650197530786116,-0.012534952970427261,0.012252318390331826,-0.009367563262926136
cost_driving_total,0.005714206695248132,0.02481348185020347,-0.029951027798757097,-0.0005766619138457561

# elasticity
,walk,cycle,pt,drive
age,-0.029244213097719515,0.1680263026187742,-0.15670490529481193,0.26032245363940065
distance,0.01425677097547574,0.11714475564476162,-0.0324992706482317,0.07116253037798871
dur_walking,-0.022401303684887346,0.07792779715462618,-0.12687277097188918,0.19955729902599173
dur_cycling,0.004291748308976865,0.12470615250960553,-0.021101981356325423,0.05842860486840337
dur_pt_access,0.09034407398778094,-0.1387378159213717,0.12600189332911932,0.12893412064581483
dur_pt_inv,0.037277351657128255,-0.11150278857541371,0.08727884512226546,0.1439399063456797
dur_pt_int_total,0.006225358913348996,-0.03269709496140806,0.008407550163234261,0.05522634496712754
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.034783381113406044,0.4129899542970697,0.1903659751744437,-0.28940450713118776
cost_transit,0.039068327835577864,0.007047572318737501,0.05775644943692723,-0.018523196280930576
cost_driving_total,-0.018713917484185986,0.13670060566204234,-0.07308553096912082,-0.03608999726395575

# market share
,mean
walk,0.2085275948047638
cycle,0.2811377942562103
pt,0.21680760383605957
drive,0.29352840781211853

# value of time of driving
,VOT_drive
VOT_drive,-46.98807718198992

# value of time of pt
,VOT_pt
VOT_pt,-12.769785813452764

