# overall_metrics
,overall
accuracy,0.5486626139817629
macro_f1_score,0.4750782791249792
macro_recall,0.5121480348842213

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5476623868166026,0.05984193040285718,0.6869922163105745,0.7237426176062624
recall,0.617933390264731,0.3505226480836237,0.526144616356173,0.5539914848323576
f1-score,0.5779141090519198,0.10188314840619661,0.5941992755076178,0.626316583534183
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2894.4,784.6,385.1,619.9
cycle,173.2,301.8,213.4,172.6
pt,914.3,1981.2,4998.9,1606.6
drive,1330.9,1998.7,1698.7,6245.7

# prob_derivative
,walk,cycle,pt,drive
age,0.005300380975577063,0.017761132672409898,0.01856782955913284,-0.04162934344121679
distance,-0.45185310789505506,0.19544280659351318,0.1702412924357678,0.08616900781089817
dur_walking,-0.4036799673195758,-0.32267718749985524,0.15210680168973983,0.5742503535898759
dur_cycling,0.06536630086009144,-0.01868037545856993,0.038794273026498724,-0.08548019819453782
dur_pt_access,-0.00616421274024004,0.051951659026065355,-0.06246118304430815,0.016673736592805175
dur_pt_inv,-0.008871329552070133,0.07967047701125167,-0.08138628064444305,0.01058713373769831
dur_pt_int_total,-0.014438023643197965,0.05624666880214623,-0.06527086641849698,0.023462221858245622
pt_n_interchanges,0.044549195571689744,-0.06243386657208302,-0.011342442689846024,0.02922711398391653
dur_driving,0.09097875656253131,0.09046673924711089,0.10656907825539243,-0.28801457338021696
cost_transit,0.02677484145783645,0.006572679804860947,-0.04574216490238463,0.012394642946230862
cost_driving_total,0.01617286190060529,-0.05772330058374487,0.035770985235768035,0.005779453768395642

# elasticity
,walk,cycle,pt,drive
age,-0.42730246222234824,-0.8146298955470072,-0.3102899674663493,0.7032154151962859
distance,-1.940191549021789,0.6907886181476053,0.7806515440862868,-0.3950500348677812
dur_walking,-3.127273088554064,-5.888406615156469,0.4086187692132361,3.1999693846030097
dur_cycling,0.6728631726000249,0.004601714396226298,0.4981538251657106,-1.3507930201278278
dur_pt_access,-0.3675564576119041,1.078412663853684,-1.7358392184091855,0.24001852165753482
dur_pt_inv,-0.5846177959392052,0.7629461261902153,-1.3217857622409668,0.37689950955693763
dur_pt_int_total,-0.2421409196352097,0.14071116980015932,-0.5143954584809891,0.29200563966498266
pt_n_interchanges,0.0802043234022609,0.009319456045515349,-0.13768882216252598,-0.0445626428997888
dur_driving,0.9962885163144409,1.2775149254530755,1.5830362393670878,-3.0115146344699752
cost_transit,-0.43085705739156477,0.17368554248271176,-0.22131134093951643,-0.8729633861124181
cost_driving_total,-0.1284026496268817,-0.14929349874634376,0.03865319971672012,-0.4996746527813924

# market share
,mean
walk,0.1931172400712967
cycle,0.19990439862012863
pt,0.27999354898929596
drive,0.3269724935293198

# value of time of driving
,VOT_drive
VOT_drive,56.859423868298

# value of time of pt
,VOT_pt
VOT_pt,-9.758832768290342

