# overall_metrics
,overall
accuracy,0.6532294832826747
macro_f1_score,0.5479181913412177
macro_recall,0.5809436859119222

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5863303221407875,0.08557951482479785,0.7627228947025901,0.77933074882677
recall,0.7344150298889838,0.29500580720092917,0.6167771813493317,0.6775767252084443
f1-score,0.6520708937541466,0.13267171585270307,0.6820297951582868,0.7249003605997342
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3440,440,253,551
cycle,191,254,199,217
pt,826,1420,5860,1395
drive,1410,854,1371,7639

# prob_derivative
,walk,cycle,pt,drive
age,-0.006074023145451112,-0.006067798918903969,0.013934179320276643,-0.001792357152513687
distance,-0.07217056332794183,-0.003938138633402572,0.047884441099990724,0.028224260791521755
dur_walking,-0.06308025066233051,-0.02999191167008812,0.016229415578367098,0.07684274717065846
dur_cycling,-0.0011317252484085195,-0.0065429623962924375,0.011535169329203832,-0.0038604818181440345
dur_pt_access,-0.0014693851860187073,0.012133063703387528,-0.02546764379071674,0.014803965438514826
dur_pt_inv,-0.024127250049791063,0.02043718296230125,-0.013525320940033416,0.01721538828320451
dur_pt_int_total,0.0010981956230047393,-0.0010690756944633647,-0.009629837314733455,0.009600717425407315
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,-0.012141990404785639,0.04031034533911443,0.06788147032255963,-0.09604982530062882
cost_transit,0.006400021179072969,0.01618202539331139,-0.009175159221232179,-0.013406887124593654
cost_driving_total,-0.004159735887052534,-0.021804554274439523,0.012811733437153524,0.013152556501150141

# elasticity
,walk,cycle,pt,drive
age,-0.052689914803022805,-0.17201929228331017,0.17512501329620878,0.21003063699584282
distance,-0.0354383844990577,-0.032405318426032614,0.13356675259644046,0.058564426850042386
dur_walking,-0.0227046280162398,-0.13644551600435795,0.051181011963509486,0.1890095734641303
dur_cycling,0.03470871741661305,0.0016377683072715998,0.054870455241814664,0.04124684735649908
dur_pt_access,0.04944212634566715,0.10509120148005895,-0.13849403025962126,0.12295824899618919
dur_pt_inv,0.05143976871689614,0.08959353732769966,-0.0789197433625353,0.13936083722859485
dur_pt_int_total,0.007781465989839408,0.0077315909785907145,-0.027771332288871724,0.041245379971366916
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.03530526444946136,0.21918387493855868,0.3315869718670604,-0.2348232684937704
cost_transit,0.035055629355484376,0.07871333274037244,0.016585572169783392,-0.01405416315775375
cost_driving_total,0.027691177180431452,-0.03333840516330463,0.05210605075471859,0.07096003127371098

# market share
,mean
walk,0.21252073347568512
cycle,0.2146444171667099
pt,0.28115037083625793
drive,0.2916843593120575

# value of time of driving
,VOT_drive
VOT_drive,14.676690020621002

# value of time of pt
,VOT_pt
VOT_pt,37.93256924818903

