# overall_metrics
,overall
accuracy,0.571580547112462
macro_f1_score,0.4846569329285324
macro_recall,0.5199012494828908

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5078702216511404,0.06478494623655914,0.6820745463462482,0.7395960087612558
recall,0.6750640478223741,0.27990708478513354,0.5855173139669508,0.5391165513571048
f1-score,0.5796516956920256,0.10521720148439208,0.6301183666534519,0.6236404678842601
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3162,452,533,537
cycle,197,241,232,191
pt,1052,1474,5563,1412
drive,1815,1553,1828,6078

# prob_derivative
,walk,cycle,pt,drive
age,0.011507339232693462,0.00501866757181712,0.021953676723916214,-0.03847968228105296
distance,-0.36323553624879723,0.05961763850199894,0.16680394992634331,0.13681394726444163
dur_walking,-0.49721724926835137,-0.11225505459682651,0.12347803065976623,0.4859942655351072
dur_cycling,0.05966719988263004,-0.12369494878099345,0.08019418751753205,-0.01616643725955183
dur_pt_access,0.010392164723931988,0.07115974873011278,-0.10623758479347754,0.024685674157090713
dur_pt_inv,0.0024507825362883816,0.05421593371726784,-0.08255415632285862,0.025887438777068998
dur_pt_int_total,0.06104155197341599,-0.050253754397314686,-0.04275939048825636,0.031971593888107414
pt_n_interchanges,0.0017419830367839324,0.029861927032327117,-0.03505566710632451,0.0034517562592218955
dur_driving,0.029808165956655735,0.1150718975963186,0.16924598228710389,-0.3141260455666307
cost_transit,0.004232108389198451,0.0381773236147641,-0.07340379730878724,0.03099436788381363
cost_driving_total,0.04670714789642731,-0.02720082718666891,0.01363245286122407,-0.0331387762980034

# elasticity
,walk,cycle,pt,drive
age,-0.24097459675988542,-0.6755210875312315,0.15086900858108912,1.1530429867165537
distance,-2.5379784487065873,-0.12755787623304563,1.5852527526665403,-1.2750833625437974
dur_walking,-3.105412649766694,-3.2836919956672297,0.5146823320420582,1.8470842492755177
dur_cycling,0.5394739013640025,-2.016041448035001,1.037001915987632,0.7329524437452085
dur_pt_access,-0.07539285488487858,1.7143591328368344,-3.1110183585753064,0.09784321710684463
dur_pt_inv,0.2968159729353922,0.020732266993601173,-1.9547037665071558,0.47453284989796946
dur_pt_int_total,0.8309817823695542,-0.027696426089313685,-0.5362230593362499,0.6444006889701761
pt_n_interchanges,-0.6023445022677204,0.2564683927275124,-0.687272090884284,-0.10512027165679583
dur_driving,-0.6760240316317625,2.0284866223939595,1.5435238080717333,-4.216308658236339
cost_transit,-0.9824511126391319,0.4385021450782401,-0.9769339831114603,-0.7054065864748313
cost_driving_total,-0.13962581433317706,0.03686039139850293,-0.053720173356186125,-0.5986310797641001

# market share
,mean
walk,0.21805331110954285
cycle,0.155052050948143
pt,0.31067216396331787
drive,0.31621238589286804

# value of time of driving
,VOT_drive
VOT_drive,-51.03459633106037

# value of time of pt
,VOT_pt
VOT_pt,1.700567506722476

