# overall_metrics
,overall
accuracy,0.5338145896656535
macro_f1_score,0.45610513026317506
macro_recall,0.5038157490788406

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.49351135512852506,0.05167255915148219,0.7036736020806242,0.6577798749557626
recall,0.8443637916310845,0.22067363530778164,0.45563624881591414,0.49458932056058186
f1-score,0.6229327453142227,0.08373732921992066,0.5531208075129368,0.56462963900562
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3955,300,71,358
cycle,273,190,144,254
pt,1227,1656,4329,2289
drive,2559,1531,1608,5576

# prob_derivative
,walk,cycle,pt,drive
age,8.887466245997697e-06,1.6041703395338097e-05,1.4541295761428413e-05,1.643966272070922e-05
distance,-0.00020542431806007234,-0.0003707868912574777,-0.0003361065665758728,-0.000379985297278633
dur_walking,-0.7680875632213625,0.29539903123273203,0.19432104576384934,0.2783674862247833
dur_cycling,0.1904016390452092,-0.8936035118433031,0.3258130242054526,0.3773888485926398
dur_pt_access,0.1329589473714528,0.3458633583979666,-0.8598716011086662,0.38104929533925885
dur_pt_inv,0.05079149979313664,0.13212287735285722,-0.3284785951848805,0.14556421803888225
dur_pt_int_total,0.05306848755005041,0.13804595848584156,-0.3432043217865803,0.15208987575068822
pt_n_interchanges,0.0028743578351341833,0.007477007555720597,-0.018589036110154805,0.008237670719299909
dur_driving,0.19396125200244393,0.40796595115216594,0.38804304589851035,-0.9899702490531186
cost_transit,0.00661143221876292,0.017198181816327887,-0.042757429416816685,0.01894781538172548
cost_driving_total,0.0052371233782455345,0.011015437352818467,0.010477501493004623,-0.02673006222406847

# elasticity
,walk,cycle,pt,drive
age,0.0029097911489754736,0.0027250518901742226,0.0026095232624965504,0.002593506421280718
distance,-9.617330461963437,-7.903900931361594,-5.608962118216986,-7.078861771177141
dur_walking,-8.774176646824314,0.450325348694571,0.450325348694571,0.450325348694571
dur_cycling,0.4120325539528958,-1.492689465974648,0.4120325539528958,0.4120325539528958
dur_pt_access,0.24838059308216165,0.24838059308216165,-0.6333935895768901,0.24838059308216165
dur_pt_inv,0.21379817721634628,0.21379817721634628,-0.340457582258188,0.21379817721634628
dur_pt_int_total,0.04143027018198531,0.04143027018198531,-0.05866581327036257,0.04143027018198531
pt_n_interchanges,0.019111897342681466,0.019111897342681466,-0.026242814299133548,0.019111897342681466
dur_driving,0.42688244050794055,0.42688244050794055,0.42688244050794055,-1.1566146328487383
cost_transit,0.14856560073097774,0.14856560073097774,-0.28741470256209434,0.14856560073097774
cost_driving_total,0.04596988945926454,0.04596988945926454,0.04596988945926454,-0.2436912172626137

# market share
,mean
walk,0.1942575656816832
cycle,0.24716816678271566
pt,0.2771516944953868
drive,0.28142257304021484

# value of time of driving
,VOT_drive
VOT_drive,37.0358378051856

# value of time of pt
,VOT_pt
VOT_pt,7.6823747279739045

