# overall_metrics
,overall
accuracy,0.3902127659574468
macro_f1_score,0.3026701109672667
macro_recall,0.44529285816654357

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.38084002756890434,0.5735693072489974,0.049108971791975105,0.0
recall,0.8437873612297183,0.6378486475107883,0.2995354239256678,0.0
f1-score,0.5240459302617589,0.602799243887081,0.08383526972022709,0.0
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3952.3,352.7,379.0,0.0
cycle,1774.7,6060.2,1666.1,0.0
pt,338.9,264.2,257.9,0.0
drive,4342.9,3913.8,3017.3,0.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.02630460270415988,0.008826485383521297,0.0174224249915845,5.569163075657772e-05
distance,-0.25465363712361905,0.0709426879338395,0.1833187284111722,0.00039222020782476725
dur_walking,-0.28304730079682083,0.49160357645104313,-0.20890775895437344,0.00035148234580434704
dur_cycling,0.10625338629981418,-0.04436278335275863,-0.061812305795962155,-7.829709013305297e-05
dur_pt_access,0.018471742489140942,-0.08738059422220681,0.06898984768075835,-8.099608999584615e-05
dur_pt_inv,-0.02936010839091862,-0.09022187170367331,0.11958469151890103,-2.711132504403816e-06
dur_pt_int_total,0.028472106517063223,-0.04713146872915235,0.018762547879676877,-0.00010318529953696653
pt_n_interchanges,0.04580321159367515,-0.014396738443474865,-0.03129112376033485,-0.00011534914045192687
dur_driving,-0.06733866546435886,0.07925852775730391,-0.012061584882910028,0.0001417224364120392
cost_transit,0.062318365990516274,-0.04944250917545712,-0.012852508460944267,-2.334886123671322e-05
cost_driving_total,-0.004771950617808634,-0.03007111777653277,0.03488047906784946,-3.741090275149387e-05

# elasticity
,walk,cycle,pt,drive
age,-0.35342546502710964,0.38779628310650666,-0.2603475144597613,-0.10047196702022766
distance,-0.8374812783402446,0.07659955729999517,1.2909669230446899,0.5054233921610543
dur_walking,-1.0667610930412519,2.215341337812448,-3.1706947869270823,-1.0026145053605025
dur_cycling,0.43432902899680564,-0.16077842921161217,-0.014330780551477316,0.0877428189667663
dur_pt_access,0.07864089346412931,-1.2549688560972725,0.6964190816879938,-0.34719441555311675
dur_pt_inv,-0.19263059709309135,-0.5748438073717336,0.6352285436145014,-0.06875725943604968
dur_pt_int_total,-0.05568022795260399,-0.13308697538863412,0.04869790912205949,-0.08609084918576851
pt_n_interchanges,-0.013476214732028079,-0.0516871422580813,0.03441469807714539,-0.016783205830336184
dur_driving,-0.3327532214331392,0.39024830484874395,-0.059018845233553455,0.046530287186463994
cost_transit,-0.3004370482392337,-0.1945647731592984,0.12315321653978391,-0.21520976629101482
cost_driving_total,0.014861717104576937,0.005038727386800336,-0.11512534174409408,-0.060155843149779994

# market share
,mean
walk,0.35633001625537875
cycle,0.40474812388420106
pt,0.23824871927499772
drive,0.0006714162067510187

# value of time of driving
,VOT_drive
VOT_drive,7.138462553694748

# value of time of pt
,VOT_pt
VOT_pt,16.42679491708551

