# overall_metrics
,overall
accuracy,0.3881838905775076
macro_f1_score,0.2997616356199965
macro_recall,0.43144993690341804

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.3950742926928557,0.5522253317685294,0.0402436773121654,0.0
recall,0.8287788215200683,0.6438269655825702,0.25319396051103366,0.0
f1-score,0.535079255685734,0.5945184177276703,0.06944886906658172,0.0
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3882,528,274,0
cycle,1475,6117,1909,0
pt,339,304,218,0
drive,4130,4128,3016,0

# prob_derivative
,walk,cycle,pt,drive
age,-0.030511821238975074,0.046806255085749975,-0.016268903286034444,-2.5528894645902232e-05
distance,-0.33135599391223003,0.19707000204530906,0.13389888323818339,0.0003871085256028798
dur_walking,-0.2623584886034254,0.37277234708089646,-0.1106469132891374,0.0002330551185281982
dur_cycling,0.10724216244882741,-0.03126602118133043,-0.07582778808402857,-0.00014835294104491756
dur_pt_access,0.045393656106595445,-0.12854623615315927,0.08323327614406623,-8.069548863692666e-05
dur_pt_inv,0.02014200796025563,-0.07019290959631803,0.05005499206252005,-4.09072510521715e-06
dur_pt_int_total,-0.002371115644814545,-0.11930005983019966,0.12176283940658995,-9.166358771812275e-05
pt_n_interchanges,0.018479969401582388,0.021331721904097628,-0.039766092406672324,-4.5598675590811016e-05
dur_driving,-0.11647284250422411,0.07769136986700968,0.03849410142241803,0.00028737047735160416
cost_transit,0.09754574882443967,-0.026329695725214586,-0.07116942355201746,-4.6629116397543436e-05
cost_driving_total,-0.03124029053113323,0.007109613829898181,0.024099432913218158,3.1245075252824835e-05

# elasticity
,walk,cycle,pt,drive
age,-0.7128640066678754,0.47773820591222227,-0.9424929582002414,-0.5325718583671386
distance,-0.9176433336383392,0.2244966779425242,1.1927847354167573,0.4868165260976606
dur_walking,-0.9106767791770665,1.656268174761262,-2.587952971169335,-0.7570916659858263
dur_cycling,0.10007558489337337,-0.027956971429484296,-0.37348312265800315,-0.20608340675367512
dur_pt_access,0.2611997950965219,-1.7741356478643011,0.9313589297202025,-0.55236009208829
dur_pt_inv,-0.08569322389086864,-0.48563830293880905,0.22596812367529676,-0.25157127322730793
dur_pt_int_total,-0.04869595344571014,-0.265739449602429,0.14665829723457685,-0.1193619202177984
pt_n_interchanges,0.015457569570369601,-0.14105678120939594,0.24195291373077063,0.05830039322709562
dur_driving,-0.11269364644647559,0.31184235083679107,0.5207854846557314,0.4309775556993178
cost_transit,-0.08486778831792854,-0.09055741980616101,-0.40587239769559824,-0.3192878298943774
cost_driving_total,-0.08485794430411292,0.0853336931405899,-0.11809999856634906,-0.05637104359281184

# market share
,mean
walk,0.338029146194458
cycle,0.4224414825439453
pt,0.2388787418603897
drive,0.0006491856765933335

# value of time of driving
,VOT_drive
VOT_drive,-42.28370632451049

# value of time of pt
,VOT_pt
VOT_pt,-91.29476955888434

