# overall_metrics
,overall
accuracy,0.7212386018237084
macro_f1_score,0.5225586083934264
macro_recall,0.5175468200512515

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.7679971489665005,0.0,0.72856996201622,0.7067325150700849
recall,0.46007685738684884,0.0,0.746974002736554,0.8631364200816039
f1-score,0.5754339118825101,0.0,0.7376572081904166,0.7771433135007787
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2155.0,0.0,932.0,1597.0
cycle,95.0,0.0,427.0,339.0
pt,298.0,4.0,7097.0,2102.0
drive,258.0,0.0,1285.0,9731.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.003014721153472811,0.0008330189538640992,0.017537953719017518,-0.015356250884954287
distance,-0.037698509969284394,0.005717613083000008,0.018320118914518336,0.013660777719722381
dur_walking,-0.04612189079400991,-0.0015080342551281017,-0.001508332056389349,0.04913825706569403
dur_cycling,-0.00390642066659871,0.006902763649152481,0.010332858953448504,-0.013329202007597777
dur_pt_access,0.0032432168449639358,0.005856982122448144,-0.03289430377093529,0.023794104669653943
dur_pt_inv,-0.0005340290437702196,0.00934076443145952,-0.01366774268266016,0.004861006870141349
dur_pt_int_total,0.001388601935501014,0.0014986027924102786,-0.018185380419719004,0.015298175793454789
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.018848763898840933,0.019353312525109075,0.07917397599175174,-0.11737605250165209
cost_transit,0.016470339950278474,0.011044640320186691,0.003668097342897269,-0.031183077762657205
cost_driving_total,0.020501522354690268,-0.0040921460535919075,0.011844479092180803,-0.028253855258778292

# elasticity
,walk,cycle,pt,drive
age,-0.07620186275135124,-0.06757340644592648,0.09995100240064118,0.17397068511647576
distance,-0.025156617685166718,0.05734033391919971,0.04671427353911943,0.043883787491149504
dur_walking,-0.035130764349194626,-0.018341216319893192,-0.009500492214754245,0.1284115984024261
dur_cycling,0.04118769525606148,0.08393982477092117,0.05845856927564734,0.012207032816066886
dur_pt_access,0.08027886489895683,0.0998944144254815,-0.18939409321125694,0.1580157412008338
dur_pt_inv,0.0575523420334441,0.0859018833191869,-0.07979589228617835,0.1061301331274614
dur_pt_int_total,0.009094928680973275,0.015529901673411525,-0.05349212950704813,0.06041619229679577
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.14589332777211433,0.2561765813127928,0.5205186377676774,-0.2419937290421122
cost_transit,0.07116485617634098,0.11848237334960852,0.1219308758655556,-0.05385624957259082
cost_driving_total,0.043929442887874086,0.003243196499909898,0.048008628902009805,0.008950770951169805

# market share
,mean
walk,0.15258951485157013
cycle,0.08387725800275803
pt,0.338141530752182
drive,0.4253952205181122

# value of time of driving
,VOT_drive
VOT_drive,28.828589451607407

# value of time of pt
,VOT_pt
VOT_pt,9.201947221493421

