# overall_metrics
,overall
accuracy,0.7160714285714286
macro_f1_score,0.5178870784473375
macro_recall,0.5127511918810514

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.7634525099313831,0.0,0.728335769471706,0.6983752057834085
recall,0.45132365499573013,0.0,0.7342385012103989,0.865442611318077
f1-score,0.5672883402656648,0.0,0.7312752240683476,0.7729847494553378
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2114,0,906,1664
cycle,98,0,424,339
pt,312,2,6976,2211
drive,245,0,1272,9757

# prob_derivative
,walk,cycle,pt,drive
age,-0.0015580480894907488,0.0007240694719939614,0.019814910179814096,-0.01898093184264161
distance,-0.033176259508849816,0.004597755414530952,0.021620382468352732,0.006958121417071745
dur_walking,-0.03787673590963289,-0.0008303020498305518,-0.0042592861365124335,0.04296632376250956
dur_cycling,-0.0006464130464864716,0.006249936769989165,0.008702269510401997,-0.014305793530577971
dur_pt_access,0.0037201964828087494,0.005271384515134384,-0.030990241622098284,0.021998660433612854
dur_pt_inv,-0.0034433835923092593,0.008257746248526265,-0.01301971651027068,0.008205353549490391
dur_pt_int_total,0.0001957055658218557,0.0009289051342321704,-0.015829692394807447,0.014705081477849373
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.017464111794668016,0.018766636768845105,0.08060718344887915,-0.11683793236961985
cost_transit,0.0180644244796285,0.011171392582440622,0.0010268595419547387,-0.03026267698965773
cost_driving_total,0.023232162358360377,-0.0028221648551189716,-0.0027032890249752257,-0.017706709108727063

# elasticity
,walk,cycle,pt,drive
age,-0.04705708423382822,-0.07979356630632009,0.12138490636472841,0.17272174242283278
distance,-0.01792908047104072,0.0587935587050771,0.04722417392493262,0.0380379729149414
dur_walking,-0.025192297133658968,-0.008531241983160442,-0.018778256459306284,0.12110609046211639
dur_cycling,0.04373113889533739,0.07703009638814036,0.06191505852054148,0.009704830731195685
dur_pt_access,0.0809563393213456,0.09201603973679423,-0.17500791769669322,0.13899964240131943
dur_pt_inv,0.04727316931163348,0.0807020643648339,-0.09049475353274615,0.11906734733629216
dur_pt_int_total,0.0043502043909678595,0.010757287043510264,-0.06016256749041829,0.06977822144073403
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.1259730136453685,0.2504616691120779,0.4992676426261821,-0.22007455114971178
cost_transit,0.07790354195852141,0.12596843864152912,0.10367176966281899,-0.048689456498570705
cost_driving_total,0.04890755091878034,0.006500259796151035,0.032717204697872856,0.020166173440023083

# market share
,mean
walk,0.1469387412071228
cycle,0.08415324985980988
pt,0.3352685868740082
drive,0.4336388409137726

# value of time of driving
,VOT_drive
VOT_drive,-1177.576699481036

# value of time of pt
,VOT_pt
VOT_pt,-75.77834283797561

