# overall_metrics
,overall
accuracy,0.6109422492401215
macro_f1_score,0.44209922162221915
macro_recall,0.43399648129021157

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.7429022082018928,0.0,0.735313315926893,0.5488219302220209
recall,0.4022203245089667,0.0,0.47426586675086835,0.8594997339010112
f1-score,0.5218836565096953,0.0,0.5766203851813936,0.6698928447977878
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,1884,0,197,2603
cycle,78,0,212,571
pt,203,0,4506,4792
drive,371,0,1213,9690

# prob_derivative
,walk,cycle,pt,drive
age,9.601729308370275e-06,5.186219923055517e-06,2.011782791231845e-05,2.3098217005356672e-05
distance,-3.819805624691294e-05,-2.0632066783744847e-05,-8.003369991805063e-05,-9.189042557207518e-05
dur_walking,-0.5476310048632305,0.037209107493370974,0.19121007288440295,0.31921182448545676
dur_cycling,0.031636773765717066,-0.2514967835642068,0.09208187294195415,0.12777813685653577
dur_pt_access,0.18359040219260955,0.10398493259376765,-1.1016886247110902,0.8141132899247168
dur_pt_inv,0.08034632677729502,0.04550786573978333,-0.4821419485480634,0.35628775603098667
dur_pt_int_total,0.2098758911588548,0.11887293744427431,-1.2594224922947903,0.9306736636916658
pt_n_interchanges,-0.005904960642455945,-0.003344548119299006,0.03543446657050991,-0.02618495780875504
dur_driving,0.32908370350728905,0.15493196223023567,0.8741239990836255,-1.3581396648211526
cost_transit,0.00696471488743388,0.003944789049183655,-0.04179383602957697,0.030884332092959123
cost_driving_total,0.007582738608313852,0.0035699384659410934,0.020141543703510307,-0.031294220777765315

# elasticity
,walk,cycle,pt,drive
age,0.003819089179461195,0.0041485874452403156,0.002804790870681113,0.002317018185856507
distance,-2.028590225744112,-2.0059730348073512,-1.0479876385011972,-1.1970724547499734
dur_walking,-7.106716606195024,0.24565190478853674,0.24565190478853674,0.24565190478853674
dur_cycling,0.0839745625229369,-1.9186394917364016,0.0839745625229369,0.0839745625229369
dur_pt_access,0.34832393698355785,0.34832393698355785,-0.6379173815318832,0.34832393698355785
dur_pt_inv,0.31237172838153815,0.31237172838153815,-0.39782491217521826,0.31237172838153815
dur_pt_int_total,0.14008227637040016,0.14008227637040016,-0.18057148358689337,0.14008227637040016
pt_n_interchanges,-0.034520528617560456,-0.034520528617560456,0.040952537410831755,-0.034520528617560456
dur_driving,0.7507739107839019,0.7507739107839019,0.7507739107839019,-1.1166053742808741
cost_transit,0.15560841008840387,0.15560841008840387,-0.21641311692989365,0.15560841008840387
cost_driving_total,0.07006749564716826,0.07006749564716826,0.07006749564716826,-0.22143839820393424

# market share
,mean
walk,0.12494962101670333
cycle,0.049630107411414576
pt,0.35729270889202003
drive,0.4681275626798612

# value of time of driving
,VOT_drive
VOT_drive,43.399056792815784

# value of time of pt
,VOT_pt
VOT_pt,11.536197543744434

