# overall_metrics
,overall
accuracy,0.7265197568389058
macro_f1_score,0.5403438099609487
macro_recall,0.5450361678902452

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6686909581646424,0.7566489361702128,0.0,0.7257085020242915
recall,0.6347139197267293,0.7186611935585728,0.0,0.8267695582756786
f1-score,0.6512595837897044,0.737165991902834,0.0,0.7729496641512563
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2973,542,4,1165
cycle,616,6828,1,2056
pt,156,403,0,302
drive,701,1251,1,9321

# prob_derivative
,walk,cycle,pt,drive
age,0.0005308214455627897,0.007635160322912269,0.0018946546918887498,-0.010060635898880238
distance,-0.08387847502128529,0.04950588803564714,0.009632643121972902,0.02473994404591881
dur_walking,-0.06491510081548797,0.004239698915018976,0.0004998931154295154,0.0601755085659015
dur_cycling,0.008483699301683065,0.012327539569675918,0.006634494009147999,-0.027445732663743866
dur_pt_access,-0.0028540995425363645,-0.02374893546947721,0.004184580134018369,0.022418454893399997
dur_pt_inv,0.000542017036356449,-0.01262076080676084,0.007573006479079158,0.004505737792629112
dur_pt_int_total,-0.0009876147731345249,-0.015126129611254965,0.0007109794420573117,0.015402764854882303
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.018410528871450883,0.10683094660673863,0.02796646151934821,-0.15320793647693887
cost_transit,0.009520232613339855,0.007558626397818387,0.01109589253452802,-0.02817475152508912
cost_driving_total,0.007892474223131522,0.035641295705556936,0.0009381431718191587,-0.04447191283489141

# elasticity
,walk,cycle,pt,drive
age,-0.024101186323359575,0.07807038755693048,-0.030959505688877523,0.17412406164663494
distance,-0.020030581131165997,0.15726656078664406,0.07395211328161315,0.04882197593531478
dur_walking,-0.005446024770778008,0.026269867005714667,-0.012556287375647655,0.15448997111828594
dur_cycling,0.08006363597502114,0.08679298119914286,0.08686512944841181,0.0023031944061732523
dur_pt_access,0.03726600934564032,-0.14497544267063528,0.07822655947027224,0.17608209925719748
dur_pt_inv,0.05765792691125432,-0.07453194859807204,0.09226418350651366,0.15065759096315726
dur_pt_int_total,0.012629720255081732,-0.04397285685409645,0.01672038278281149,0.06868162441056615
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.12913725308335045,0.6579100791281735,0.3364701650497606,-0.30721287581969153
cost_transit,0.055519048875548475,0.0921435890990539,0.117026846238564,-0.0474976944413756
cost_driving_total,-0.0009270769059212895,0.0878131803169603,0.026839310453641782,-0.009394256432114221

# market share
,mean
walk,0.1850307285785675
cycle,0.32508403062820435
pt,0.07420885562896729
drive,0.41567930579185486

# value of time of driving
,VOT_drive
VOT_drive,17.506398423394415

# value of time of pt
,VOT_pt
VOT_pt,-13.720660496115666

