# overall_metrics
,overall
accuracy,0.7265197568389058
macro_f1_score,0.5403438099609488
macro_recall,0.5450361678902452

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6686909581646424,0.7566489361702128,0.0,0.7257085020242915
recall,0.6347139197267292,0.7186611935585728,0.0,0.8267695582756784
f1-score,0.6512595837897043,0.7371659919028339,0.0,0.7729496641512563
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2973.0,542.0,4.0,1165.0
cycle,616.0,6828.0,1.0,2056.0
pt,156.0,403.0,0.0,302.0
drive,701.0,1251.0,1.0,9321.0

# prob_derivative
,walk,cycle,pt,drive
age,0.0005308214455627897,0.007635160322912271,0.0018946546918887498,-0.010060635898880238
distance,-0.08387847502128525,0.049505888035647164,0.0096326431219729,0.02473994404591881
dur_walking,-0.06491510081548797,0.004239698915018976,0.0004998931154295154,0.06017550856590151
dur_cycling,0.008483699301683065,0.012327539569675918,0.006634494009147996,-0.02744573266374386
dur_pt_access,-0.002854099542536366,-0.023748935469477213,0.0041845801340183696,0.022418454893399994
dur_pt_inv,0.0005420170363564491,-0.012620760806760839,0.0075730064790791585,0.004505737792629111
dur_pt_int_total,-0.0009876147731345253,-0.015126129611254978,0.0007109794420573118,0.015402764854882293
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.018410528871450886,0.10683094660673863,0.0279664615193482,-0.1532079364769389
cost_transit,0.009520232613339853,0.007558626397818387,0.01109589253452802,-0.028174751525089126
cost_driving_total,0.007892474223131525,0.03564129570555693,0.0009381431718191587,-0.04447191283489143

# elasticity
,walk,cycle,pt,drive
age,-0.024101186323359572,0.0780703875569305,-0.03095950568887754,0.1741240616466349
distance,-0.020030581131165997,0.15726656078664403,0.07395211328161314,0.0488219759353148
dur_walking,-0.00544602477077801,0.02626986700571466,-0.012556287375647653,0.1544899711182859
dur_cycling,0.08006363597502118,0.08679298119914287,0.08686512944841181,0.0023031944061732527
dur_pt_access,0.03726600934564032,-0.14497544267063533,0.07822655947027223,0.17608209925719753
dur_pt_inv,0.05765792691125432,-0.07453194859807205,0.09226418350651368,0.15065759096315723
dur_pt_int_total,0.012629720255081736,-0.043972856854096444,0.0167203827828115,0.06868162441056615
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.12913725308335042,0.6579100791281736,0.33647016504976046,-0.3072128758196915
cost_transit,0.0555190488755485,0.09214358909905392,0.11702684623856406,-0.04749769444137562
cost_driving_total,-0.0009270769059212893,0.08781318031696031,0.026839310453641775,-0.009394256432114221

# market share
,mean
walk,0.1850307285785675
cycle,0.32508403062820435
pt,0.07420885562896729
drive,0.41567930579185486

# value of time of driving
,VOT_drive
VOT_drive,17.506398423394415

# value of time of pt
,VOT_pt
VOT_pt,-13.720660496115668

