# overall_metrics
,overall
accuracy,0.6173252279635258
macro_f1_score,0.46325048935008895
macro_recall,0.4739511826106836

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6074582924435721,0.0,0.7616150442477876,0.5709765204733878
recall,0.6607600341588385,0.0,0.43479633722766026,0.8002483590562356
f1-score,0.6329890581859086,0.0,0.55356783919598,0.6664450600184672
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3095,0,114,1475
cycle,139,0,191,531
pt,597,0,4131,4773
drive,1264,0,988,9022

# prob_derivative
,walk,cycle,pt,drive
age,6.380801064210454e-05,3.454198061116206e-05,0.00013648247382959795,0.00016941484720756772
distance,-0.0002827798308660941,-0.00015308070784076123,-0.0006048533793381201,-0.0007508007436286993
dur_walking,-0.8915568822031024,0.056103492391992194,0.236502991796637,0.5989503980144774
dur_cycling,0.025740648244582852,-0.22143724596496447,0.07543562346274069,0.12026097425763918
dur_pt_access,0.09847547019022836,0.06846022542908663,-0.7940396000583491,0.6271039044390377
dur_pt_inv,0.0443547418157225,0.03083545189159817,-0.3576466442253447,0.28245645051802076
dur_pt_int_total,0.09320936631195237,0.06479922581219348,-0.7515772994540016,0.59356870732986
pt_n_interchanges,0.0008824780971259732,0.0006134994770654197,-0.007115706621644639,0.005619729047453229
dur_driving,0.3356625937373085,0.1468950707764546,0.8440344419263193,-1.3265921064400854
cost_transit,0.002559189096352669,0.0017791503012224497,-0.020635570285840118,0.016297230888264964
cost_driving_total,0.007575103926317285,0.003315071289314474,0.019047843680749455,-0.029938018896381247

# elasticity
,walk,cycle,pt,drive
age,0.028957978301793273,0.0333728596595342,0.023670876462576877,0.01838191405514129
distance,-18.001578639484165,-17.96510205715344,-9.067776778280228,-10.751491185056265
dur_walking,-13.861102347875038,0.5027970665004308,0.5027970665004308,0.5027970665004308
dur_cycling,0.07221652844918786,-2.038981618643707,0.07221652844918786,0.07221652844918786
dur_pt_access,0.280922941630047,0.280922941630047,-0.5546425586949438,0.280922941630047
dur_pt_inv,0.2750540697983823,0.2750540697983823,-0.34420426327214865,0.2750540697983823
dur_pt_int_total,0.10566840184228724,0.10566840184228724,-0.11926427719012087,0.10566840184228724
pt_n_interchanges,0.008646819671960447,0.008646819671960447,-0.009168685348279708,0.008646819671960447
dur_driving,0.7903803462313397,0.7903803462313397,0.7903803462313397,-1.1928004494153117
cost_transit,0.09206935653735263,0.09206935653735263,-0.12384738730107536,0.09206935653735263
cost_driving_total,0.07067650114634252,0.07067650114634252,0.07067650114634252,-0.232533171623015

# market share
,mean
walk,0.16731188754941995
cycle,0.041187674645971784
pt,0.32114011154976485
drive,0.47036032625484375

# value of time of driving
,VOT_drive
VOT_drive,44.31128562753486

# value of time of pt
,VOT_pt
VOT_pt,17.331560953794312

