# overall_metrics
,overall
accuracy,0.6777355623100304
macro_f1_score,0.5393940667322447
macro_recall,0.5384690615845069

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6309784993418166,0.1076923076923077,0.7266610597140454,0.7067554557124519
recall,0.61400512382579,0.12195121951219512,0.6365645721502999,0.7813553308497427
f1-score,0.6223761090673015,0.11437908496732027,0.6786355475763016,0.7421855253180554
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2876,118,494,1196
cycle,171,105,284,301
pt,664,631,6048,2158
drive,847,121,1497,8809

# prob_derivative
,walk,cycle,pt,drive
age,0.010327349248139068,0.011266205840482126,0.018003635600125238,-0.03959719291052181
distance,-0.48499322470088146,0.007829186018957606,0.37651046355430934,0.10065357489833916
dur_walking,-0.6048796607524377,-0.11030707457849927,0.09764424910131307,0.6175424824825352
dur_cycling,0.02258741552112367,0.021180846120005713,0.0483479743586283,-0.09211623550742389
dur_pt_access,0.03516736109102723,0.017557053015425126,-0.0436957542396914,-0.009028660028978756
dur_pt_inv,0.015787289929300622,0.030173730607517844,-0.06283015903886392,0.01686913808091408
dur_pt_int_total,0.0807900306817884,0.002211862587372008,-0.04461372580075682,-0.03838816807819986
pt_n_interchanges,-0.0020746298834597465,0.0016946004330965006,-0.04868669485422363,0.049066723526686166
dur_driving,0.06224707168993614,0.05540319386472108,0.0733761918874926,-0.19102645569430685
cost_transit,0.03791426204445883,0.030298557859071717,-0.028420327241221763,-0.0397924915548978
cost_driving_total,-0.00978964971050969,-0.03237873838448775,-0.028918261616266063,0.07108665045310501

# elasticity
,walk,cycle,pt,drive
age,-0.20863255549666943,-0.16407099209511194,-0.00028981259120000076,0.10307752486305052
distance,-1.0095459488233807,0.2003980312046577,2.0017883917223855,-0.45869736898196656
dur_walking,-3.065976405091934,-3.4462550538061,-1.4490464939761534,1.3378543260238327
dur_cycling,0.20821478561407852,0.29762138837299135,0.7640275504319891,-0.3049301285158331
dur_pt_access,0.6989342278630787,0.34288985768873714,-0.7733256758471402,0.0827194921542435
dur_pt_inv,0.14900175519931694,0.10892500985235247,-0.7979980299004885,0.3171757127314059
dur_pt_int_total,-0.14769536302813424,-0.4409914837243164,-0.3900437419195341,0.05472352847761339
pt_n_interchanges,0.12500505009570304,0.21231720171900387,-0.31367444101710845,0.1067290468144978
dur_driving,0.953497957551145,1.42081606371859,1.4938221395902627,-1.2208835544156913
cost_transit,0.3365760480088953,0.5822551909177216,0.06423779257294944,-0.2923016761948415
cost_driving_total,-0.11293703154838293,-0.14168977790608042,-0.027460649915403236,-0.19847739537848452

# market share
,mean
walk,0.17215996980667114
cycle,0.054493218660354614
pt,0.3163427412509918
drive,0.4570007622241974

# value of time of driving
,VOT_drive
VOT_drive,172.2037373126908

# value of time of pt
,VOT_pt
VOT_pt,-9.38550904639433

