# overall_metrics
,overall
accuracy,0.7242781155015198
macro_f1_score,0.5400607095036254
macro_recall,0.5468057737732441

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6558345642540621,0.0,0.7745213897423777,0.716703514523138
recall,0.6635354397950469,0.0,0.6898221239869488,0.8338655313109811
f1-score,0.6596625278573702,0.0,0.7297222067583365,0.7708581033987947
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3108.0,1.0,438.0,1137.0
cycle,172.0,0.0,381.0,308.0
pt,675.0,1.0,6554.0,2271.0
drive,784.0,0.0,1089.0,9401.0

# prob_derivative
,walk,cycle,pt,drive
age,0.0001942036905891445,-0.002738665421756945,0.021207586854610768,-0.01866312491986799
distance,-0.43538265471312215,-0.006544670168141572,0.1851731029379943,0.2567542220078532
dur_walking,-0.45973717204880077,-0.02767866059228278,0.08261419966969777,0.40480163611024556
dur_cycling,-0.009428184302994103,0.006180789140300768,0.035803147373654955,-0.0325557522132482
dur_pt_access,-0.005633566185008945,0.006219093389533887,-0.04858023028689412,0.0479947026714757
dur_pt_inv,-0.027925790148286174,0.015584856009851985,-0.024318347660371557,0.036659282088185356
dur_pt_int_total,0.01575014858425245,-0.0023362502823784737,-0.029729677799410655,0.016315779877808835
pt_n_interchanges,-0.005664370211663919,0.00024454556468572123,-0.011901958494513254,0.017321783637657073
dur_driving,0.06286121274369898,0.03382509543871944,0.15091389270561403,-0.2476002038863511
cost_transit,0.022850785250518355,0.00797963860676388,-0.02909159029109741,-0.0017388338982303867
cost_driving_total,0.02074845943853998,0.0029291613411211574,0.00981104240893847,-0.03348866335900671

# elasticity
,walk,cycle,pt,drive
age,-0.36728052918718,-0.43322446693175665,0.030393163123525902,0.2539712256926536
distance,-1.2726377109942588,-0.48022363033272786,0.4914762712943121,0.10445030821703391
dur_walking,-1.8043735532831118,-1.0302291203107135,-0.026748340633108776,0.5973804533088326
dur_cycling,-0.028804661915506492,0.06510012031780193,0.22200755129426342,-0.07666589641521998
dur_pt_access,0.19525874516531175,0.09423421628810306,-0.593143132248186,0.29919175951636
dur_pt_inv,0.3534064927107973,0.36360070355148927,-0.1969841124121779,0.18143623987462584
dur_pt_int_total,-0.02438162521664884,-0.057881491519262675,-0.09980749068884928,0.08457669932970982
pt_n_interchanges,-0.020399063348967815,-0.032040308262882684,-0.034284230565261885,0.06496158081909523
dur_driving,0.5464024224341945,0.6939480305666542,0.9120017018799799,-0.8285192895118028
cost_transit,0.35252178859917527,0.20501313762594775,-0.16848657954727278,-0.1349929590148486
cost_driving_total,0.004721239628797689,0.0004943036947408331,0.04950894800366002,-0.1025786105023692

# market share
,mean
walk,0.17338891327381134
cycle,0.04861827194690704
pt,0.3205700218677521
drive,0.45742395520210266

# value of time of driving
,VOT_drive
VOT_drive,192.6012033299954

# value of time of pt
,VOT_pt
VOT_pt,0.8279162682197985

