# overall_metrics
,overall
accuracy,0.5355623100303951
macro_f1_score,0.45645268129103284
macro_recall,0.5027426679224738

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.49474079639368895,0.050833333333333335,0.7031836734693877,0.6568707166918342
recall,0.8435098206660974,0.21254355400696864,0.4533207030838859,0.5015965939329431
f1-score,0.6236779794790844,0.082044384667115,0.5512607193139638,0.5688276417039682
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3951,288,64,381
cycle,272,183,147,259
pt,1226,1654,4307,2314
drive,2537,1475,1607,5655

# prob_derivative
,walk,cycle,pt,drive
age,-0.00029520468482736027,-0.0005276129068037092,-0.00047741528377371294,-0.0005405094306446124
distance,-0.0007974021313648751,-0.0014251794705322435,-0.001289586461170024,-0.0014600153526387644
dur_walking,-0.7661714797569625,0.29181806148906275,0.19250510158568362,0.2818483166822195
dur_cycling,0.19660456200374643,-0.922570513806764,0.33791685824983164,0.3880490935531812
dur_pt_access,0.12220345391771265,0.3183975179136124,-0.7865752772933879,0.34597430546205954
dur_pt_inv,0.05563848332955483,0.1449644377853416,-0.3581229011955467,0.15751998008065107
dur_pt_int_total,0.0749305191278558,0.19522927168942597,-0.4822981018230167,0.21213831100573943
pt_n_interchanges,0.0005644816226408714,0.0014707403252098119,-0.003633344841093766,0.0015981228932430561
dur_driving,0.21210040836218755,0.43344231755731305,0.4101367332049611,-1.0556794591244612
cost_transit,0.007277607262665144,0.018961592446829968,-0.04684307822034025,0.020603878510844977
cost_driving_total,0.005631552831751526,0.011508480015147518,0.010889685216171976,-0.02802971806307089

# elasticity
,walk,cycle,pt,drive
age,-0.09604582946444018,-0.08994717921851622,-0.0858606239452622,-0.08550572907543087
distance,-37.054671688843136,-30.445491982237478,-21.474864154329545,-27.431817117935065
dur_walking,-8.687478217158409,0.44679533955041956,0.44679533955041956,0.44679533955041956
dur_cycling,0.4267345917432905,-1.54470055177158,0.4267345917432905,0.4267345917432905
dur_pt_access,0.2330847093526358,0.2330847093526358,-0.577002867724451,0.2330847093526358
dur_pt_inv,0.23432929398411168,0.23432929398411168,-0.3725511471656598,0.23432929398411168
dur_pt_int_total,0.05804144762345066,0.05804144762345066,-0.08322785338687598,0.05804144762345066
pt_n_interchanges,0.0037438341544487655,0.0037438341544487655,-0.005159241517618375,0.0037438341544487655
dur_driving,0.44920990457171744,0.44920990457171744,0.44920990457171744,-1.2442617737725534
cost_transit,0.16286662280879619,0.16286662280879619,-0.3168321582680319,0.16286662280879619
cost_driving_total,0.046712138515284184,0.046712138515284184,0.046712138515284184,-0.2579087566971659

# market share
,mean
walk,0.19342089734920956
cycle,0.2464753755117153
pt,0.27866665764923754
drive,0.28143706948983793

# value of time of driving
,VOT_drive
VOT_drive,37.66286399131917

# value of time of pt
,VOT_pt
VOT_pt,7.64516156498106

