# overall_metrics
,overall
accuracy,0.6522036474164133
macro_f1_score,0.5429068059845047
macro_recall,0.5741609776393358

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5570669168230143,0.07848837209302326,0.7857523302263648,0.7747878286069136
recall,0.7606746370623398,0.2508710801393728,0.6210925165772024,0.6640056767784283
f1-score,0.6431407942238266,0.11956822585109328,0.6937863735230145,0.7151318303400841
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3563,470,249,402
cycle,219,216,246,180
pt,1033,973,5901,1594
drive,1581,1093,1114,7486

# prob_derivative
,walk,cycle,pt,drive
age,0.004815539463873755,0.0068785308856032954,0.0037593104705840267,-0.015453380934050461
distance,-0.3028386909387675,0.20953926884195234,0.0818104073515155,0.011489017469194143
dur_walking,-0.33336592923253183,-0.3366690683384927,0.1891786403503427,0.4808563625319871
dur_cycling,-0.023369015623106646,0.010967331428246909,0.055348166959215066,-0.04294648227007687
dur_pt_access,-0.006699211517162465,0.024940721563762758,-0.05386261830485357,0.03562110832722511
dur_pt_inv,-0.04667846920671734,0.08090655392583301,-0.05857591382178355,0.02434782994760513
dur_pt_int_total,0.01544070169572216,0.032376162072942374,-0.05347406281568944,0.0056571977577939804
pt_n_interchanges,0.02612695368599047,-0.0753743009988008,7.550926693013832e-05,0.04917183756134615
dur_driving,0.053925979285936836,0.02954409667345741,0.11405699248240336,-0.19752706819530996
cost_transit,0.013673050651924954,0.0014456411260730195,-0.035608234411420005,0.020489542652137687
cost_driving_total,0.028696530405392377,-0.004830953642967318,0.03556289469959494,-0.05942847206680395

# elasticity
,walk,cycle,pt,drive
age,0.020062088422998833,-0.5004962315763647,0.0458493616707341,0.2588956326244937
distance,-0.550915033090147,1.6735944895742485,0.2365870016065595,-0.18349565825354178
dur_walking,-1.0912122394823978,-4.45971636732982,0.3679544014826761,1.4290825949162316
dur_cycling,-0.009664721973808963,0.38684773086025775,0.29844476750094284,-0.24434914257240245
dur_pt_access,0.04159660918442279,0.32023226935460275,-0.5713763136956724,0.22985149361556226
dur_pt_inv,-0.12597740798971516,0.49309165142964906,-0.3627013838550502,0.12969577936328122
dur_pt_int_total,-0.017518500357756227,-0.03765531724462838,-0.10953361318848086,0.07664994867626736
pt_n_interchanges,-0.05382573059975164,-0.14313973383029052,-0.02341513340423788,0.04288901221911602
dur_driving,0.1548084610230168,0.4309189743797404,0.6646769978975915,-0.7946777111514851
cost_transit,-0.08075600100345073,0.021864510034343247,-0.11687214257737422,-0.02491734391505384
cost_driving_total,0.004010155939844979,-0.06460212944285906,0.06312586337645862,-0.11224570163683836

# market share
,mean
walk,0.22125326097011566
cycle,0.1448535919189453
pt,0.29900652170181274
drive,0.33488622307777405

# value of time of driving
,VOT_drive
VOT_drive,54.1477122484871

# value of time of pt
,VOT_pt
VOT_pt,-7.088948882344766

