# overall_metrics
,overall
accuracy,0.6835220364741643
macro_f1_score,0.5212102283352907
macro_recall,0.5175558741768541

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.637979171607981,0.15556727047951263,0.6983269112942608,0.6982189776749543
recall,0.5687873612297182,0.03588850174216028,0.6922639722134513,0.7732836615220862
f1-score,0.6001629280548892,0.05677425369840947,0.6944596720599738,0.7334440595278908
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2664.2,14.9,708.2,1296.7
cycle,168.1,30.9,363.4,298.6
pt,627.9,114.2,6577.2,2181.7
drive,730.4,37.2,1788.4,8718.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.0034420343556450456,0.005475102001339498,0.036686999010016264,-0.0387200660124189
distance,-0.33196071035298397,-0.0008454206804957206,0.322887559060881,0.00991857080167558
dur_walking,-0.49708933428712326,-0.04720384627371502,-0.020724844787598472,0.5650180249736382
dur_cycling,0.0840400564789635,0.023913674095704027,0.020754767344859492,-0.1287084979128061
dur_pt_access,0.03531059901709565,0.003877643545761111,-0.0599553468155919,0.020767104070497644
dur_pt_inv,-0.009215964088307384,0.013610676601042098,-0.05614728829074043,0.05175257544730271
dur_pt_int_total,0.013609063134197324,0.0009010176985871562,-0.01617345224734089,0.0016633715665234155
pt_n_interchanges,0.017366753140729857,-0.009433966855174817,-0.06659844363790396,0.05866565728525713
dur_driving,-0.01656169624799001,0.017912530086803515,0.20242576135204235,-0.20377659516877766
cost_transit,0.044646306984521496,0.009110236998847407,-0.01602765926623495,-0.0377288849719746
cost_driving_total,-0.008484825908967814,-0.005665241348168071,-0.02177961559987451,0.03592968286597814

# elasticity
,walk,cycle,pt,drive
age,0.024998836407258133,-0.2281823379841962,-0.10683260650435492,0.04341218525267955
distance,-1.8960682084833622,-1.1630825689928743,1.2762915738645448,-0.6676623815256016
dur_walking,-3.139396546788798,-4.819524251245279,-1.6702716370510189,1.5185250758810795
dur_cycling,1.068435242168866,2.1396281954842107,0.5923058489165834,-0.18271180881754895
dur_pt_access,0.5983924273172616,-0.05654471874052137,-0.8885326635487859,0.2624608898966545
dur_pt_inv,0.799821865892898,0.8768432922451426,-0.42247752377874626,0.4110350238940253
dur_pt_int_total,-0.07999452244940844,-0.4350388954369327,-0.33583114519641555,0.07582015500949724
pt_n_interchanges,0.02156293457054436,-0.11766333432125425,-0.14042804073608678,0.011842755887358534
dur_driving,0.26143848640770956,1.6018082495337949,1.6973406601380592,-1.1898582245636702
cost_transit,0.3015242166535146,0.6142430931988426,0.2353934550169065,-0.29030270333501956
cost_driving_total,-0.1198673923785274,-0.20387987606749536,0.035518754194430804,-0.4011818886293994

# market share
,mean
walk,0.17253470569849014
cycle,0.019396823178976775
pt,0.3550773411989212
drive,0.45298855006694794

# value of time of driving
,VOT_drive
VOT_drive,4.407722794433299

# value of time of pt
,VOT_pt
VOT_pt,-5.8035963522566645

