# overall_metrics
,overall
accuracy,0.6930091185410334
macro_f1_score,0.5667440412894005
macro_recall,0.5841399877580509

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5954569100052021,0.7591232365629008,0.10855683269476372,0.7804995196926032
recall,0.7331340734415029,0.6852962846016208,0.19744483159117304,0.7206847613979067
f1-score,0.6571619940675533,0.720323044584578,0.14009064688916356,0.7494004796163071
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3434,365,246,639
cycle,810,6511,764,1416
pt,194,267,170,230
drive,1329,1434,386,8125

# prob_derivative
,walk,cycle,pt,drive
age,-0.0024901796606609603,0.015903294337606393,-0.006523998839991445,-0.006889115909871819
distance,-0.08359407259889017,0.05698395427772687,-0.016448812482770223,0.043058930178880746
dur_walking,-0.07359389647691444,0.020992259813940765,-0.0327828905336802,0.0853845272492895
dur_cycling,0.006449006356925822,0.018147455794330417,-0.014473714213702275,-0.010122747972899178
dur_pt_access,6.116594950996616e-05,-0.02500934552122226,0.005537783576817265,0.01941039587377283
dur_pt_inv,-0.006447384802824943,-0.01182697592572672,0.00873108440646965,0.009543276237365705
dur_pt_int_total,0.0003926521269957477,-0.011627941862465047,-0.0013089768576411754,0.012544266443497737
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.002619927459524011,0.08402321870435767,0.02182358846167559,-0.1084667351153365
cost_transit,0.01032127818362125,-0.003957492163467634,0.008327635610289468,-0.014691421741403834
cost_driving_total,-0.0011869231311520461,0.035309349271169105,-0.04187559662684861,0.007753169716086384

# elasticity
,walk,cycle,pt,drive
age,-0.022404884996726587,0.20019852055724688,-0.2098581870980467,0.25307865784024075
distance,-0.037341991688642065,0.144645699148638,-0.06786877667587501,0.09941794461330379
dur_walking,-0.028928410324810475,0.0611855037175905,-0.16951016163024127,0.23075937520430936
dur_cycling,0.034485397655461915,0.08989450259168408,-0.03849970438891123,0.02265414191229099
dur_pt_access,0.04727247236350914,-0.1543890867166171,0.04182591859258713,0.16995531016861742
dur_pt_inv,0.04955302560482909,-0.07567301997853121,0.05388405665235994,0.1281388862244316
dur_pt_int_total,0.002480974079595914,-0.040227603319009334,-0.0044243780499266154,0.05921841372643481
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.05692381505212915,0.453375990038555,0.12391930178260194,-0.2835866543435611
cost_transit,0.04380155361417298,0.0712672079703679,0.03304933923616927,-0.04150714669260114
cost_driving_total,-0.005371451343989847,0.11762342578704313,-0.09919404978731824,0.015853424322985355

# market share
,mean
walk,0.21177737414836884
cycle,0.3064878582954407
pt,0.1668950319290161
drive,0.3148403465747833

# value of time of driving
,VOT_drive
VOT_drive,33.54116899924453

# value of time of pt
,VOT_pt
VOT_pt,-82.72636331359514

