# overall_metrics
,overall
accuracy,0.6944148936170212
macro_f1_score,0.5679996775290902
macro_recall,0.5851947499831788

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6004542278127183,0.760515919126191,0.10739102969046113,0.7807245123474583
recall,0.7337745516652435,0.6888748552783917,0.19744483159117301,0.7206847613979067
f1-score,0.6604534973097618,0.722924835698901,0.1391162029459902,0.7495041741617082
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3437.0,366.0,250.0,631.0
cycle,799.0,6545.0,739.0,1418.0
pt,190.0,268.0,170.0,233.0
drive,1298.0,1427.0,424.0,8125.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.0021477468138256565,0.01580235326683858,-0.007524123051609039,-0.006130483855023511
distance,-0.09075152466604729,0.060178456982102835,-0.01496920350656499,0.045542271097649294
dur_walking,-0.06986716734356603,0.018677905625490047,-0.03210935253362639,0.08329861397143698
dur_cycling,0.004340968014561076,0.01982413492484256,-0.013804803335037755,-0.010360299851925403
dur_pt_access,5.490519910828564e-05,-0.0242733151202733,0.0055167367644809295,0.01870167311316474
dur_pt_inv,-0.008743381243311385,-0.011589196561678759,0.009784716538295485,0.01054786084204004
dur_pt_int_total,0.00033718130663731085,-0.0116435829931231,-0.0010530279672303607,0.012359429371365922
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.012437991120604855,0.07656123667340684,0.020283717400462267,-0.1092829452410043
cost_transit,0.009874853060221586,-0.005551190819116604,0.008309544216983636,-0.012633206559809282
cost_driving_total,0.0019589100431910336,0.034224519049422246,-0.04092794478708078,0.004744515663467965

# elasticity
,walk,cycle,pt,drive
age,-0.013655977771176019,0.19722390213970845,-0.21285148588648156,0.26221262328233597
distance,-0.05012276251804528,0.1481255108370743,-0.06740383474213772,0.1017300733487139
dur_walking,-0.025638262899526847,0.057821133682109505,-0.16382096515230238,0.23098796997468624
dur_cycling,0.028668312405101547,0.09685784102706073,-0.037689981856165906,0.01988473335802914
dur_pt_access,0.04269837210790289,-0.15239253086479024,0.03962310255144993,0.16525476404590905
dur_pt_inv,0.04848960095616078,-0.07629380298701754,0.057450664048078345,0.1317658456261597
dur_pt_int_total,0.0024886391043919473,-0.039643335984562614,-0.005602738673579775,0.05998112422174981
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.07363287694436745,0.4293565031828154,0.11613957277242258,-0.28138689504666453
cost_transit,0.04272475364662613,0.0742837588197594,0.030881180371435064,-0.03469390267187964
cost_driving_total,0.01457427952901244,0.10935390114776018,-0.09148824738924731,0.03962180971278104

# market share
,mean
walk,0.21205368638038635
cycle,0.3064827024936676
pt,0.16828355193138123
drive,0.3131771683692932

# value of time of driving
,VOT_drive
VOT_drive,-362.3658761050983

# value of time of pt
,VOT_pt
VOT_pt,16.99058676110086

