# overall_metrics
,overall
accuracy,0.6879559270516717
macro_f1_score,0.5610390625640157
macro_recall,0.5796337168635126

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.580440097799511,0.10386965376782077,0.7723247232472324,0.7667737667737667
recall,0.7602476515798463,0.17770034843205576,0.6608778023365961,0.7197090651055525
f1-score,0.6582863480913209,0.13110539845758354,0.7122681640292666,0.7424963396778915
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3561.0,182.0,336.0,605.0
cycle,204.0,153.0,277.0,227.0
pt,945.0,641.0,6279.0,1636.0
drive,1425.0,497.0,1238.0,8114.0

# prob_derivative
,walk,cycle,pt,drive
age,0.005894128170737694,0.004226783661616785,0.001960394226464469,-0.01208130587884545
distance,-0.29969222489491054,0.09929705721366383,0.11791829779028064,0.08247687144044111
dur_walking,-0.4098949272601402,-0.22436089686278898,0.15766758808245895,0.4765882404104201
dur_cycling,-0.034190444661393905,0.019326867358125725,0.04769728186878098,-0.032833704024037284
dur_pt_access,0.015223362609728229,0.035554767063955384,-0.06107934607898334,0.01030121620098616
dur_pt_inv,-0.03042772336102935,0.05568412848401658,-0.05177409469906872,0.026517688882092987
dur_pt_int_total,0.13420584931240773,0.12634041658583894,-0.06697142855616572,-0.1935748407001442
pt_n_interchanges,-0.06123136528286576,-0.03291678523868708,0.008739415993035696,0.08540873526900437
dur_driving,0.028829012421660666,0.050216007376342735,0.1417913646879668,-0.22083638469201017
cost_transit,0.017699339835225664,-0.057734374073849605,-0.03391409350231609,0.0739491317169525
cost_driving_total,0.0959703247395879,0.1262015366246865,0.017626328599643616,-0.239798192371983

# elasticity
,walk,cycle,pt,drive
age,-0.10053670943240224,-0.795593514108548,0.0283208388440534,0.29122686097347233
distance,-0.4668184632522559,0.878939813589071,0.3496067758208508,-0.13976924980016459
dur_walking,-1.838297974399902,-3.327751285980448,0.28066097813031377,1.368036136191746
dur_cycling,-0.03728100948603887,0.3714860776760347,0.24365812330341982,-0.17405300146809558
dur_pt_access,0.2948752102170804,0.5180991275637324,-0.6399413474859383,0.0784620984476098
dur_pt_inv,0.0785205257336609,0.46609616823069683,-0.3454579943512564,0.1425830208438734
dur_pt_int_total,0.04023500971244218,-0.11971171953982607,-0.0855384075290284,0.11290809427136594
pt_n_interchanges,-0.11139452528082432,-0.11274919479161172,-0.006526789558696617,0.03537694432651477
dur_driving,0.22328190144635163,0.4423112967700954,0.7214418114937078,-0.8308180434275266
cost_transit,-0.3098352550961376,-0.7008359998790682,-0.016428394020847163,0.34134605343293256
cost_driving_total,0.0019641757693452185,-0.1471987784478388,0.17640849554074883,0.05700920621293152

# market share
,mean
walk,0.22078703343868256
cycle,0.10434159636497498
pt,0.31805795431137085
drive,0.35681307315826416

# value of time of driving
,VOT_drive
VOT_drive,9.363808908798012

# value of time of pt
,VOT_pt
VOT_pt,7.03104731457805

