# overall_metrics
,overall
accuracy,0.5401975683890577
macro_f1_score,0.45935020570259294
macro_recall,0.5040372958763728

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5002548419979612,0.05229517722254503,0.69953353707576,0.6539203449449676
recall,0.8381725021349274,0.20905923344947736,0.4577412903904852,0.5111761575306014
f1-score,0.6265560165975104,0.08366256100395074,0.5533782924036137,0.573803952805297
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3926,283,71,404
cycle,270,180,147,264
pt,1187,1583,4349,2382
drive,2465,1396,1650,5763

# prob_derivative
,walk,cycle,pt,drive
age,-3.370848522019442e-05,-6.038595017991132e-05,-5.425226112511241e-05,-6.21099491956977e-05
distance,0.00017540216876648013,0.00031421840985709987,0.0002823017468648824,0.00032318924210734376
dur_walking,-0.790775181830698,0.29989612744729066,0.19905383347918026,0.29182522090422575
dur_cycling,0.21183088653247145,-1.0006175696105524,0.3620553599168543,0.42673132316122325
dur_pt_access,0.1357320082213779,0.3495169839233681,-0.8678473990124201,0.38259840686768115
dur_pt_inv,0.0608498699794771,0.1566915814924651,-0.3890637299479391,0.17152227847599588
dur_pt_int_total,0.0961992204479943,0.247717998336274,-0.6150814708101159,0.27116425202584266
pt_n_interchanges,0.00025365644182582175,0.000653178536599088,-0.0016218361915212348,0.0007150012130963026
dur_driving,0.22663884726192018,0.46918878859555424,0.43575558096967826,-1.131583216827159
cost_transit,0.008232056963566832,0.02119797503252498,-0.05263437355691041,0.023204341560818447
cost_driving_total,0.0070502935759353584,0.014595550330845104,0.013555508291294998,-0.03520135219807559

# elasticity
,walk,cycle,pt,drive
age,-0.011174247562211428,-0.010490096644954415,-0.009982543499927473,-0.009875932109497563
distance,8.301113168431815,6.849347580316665,4.816738614871594,6.088442055437903
dur_walking,-9.13211509684964,0.4611566445164861,0.4611566445164861,0.4611566445164861
dur_cycling,0.46120815508528973,-1.7095539429420283,0.46120815508528973,0.46120815508528973
dur_pt_access,0.2607489799763945,0.2607489799763945,-0.6531436945682788,0.2607489799763945
dur_pt_inv,0.25866086221255297,0.25866086221255297,-0.4154820034926676,0.25866086221255297
dur_pt_int_total,0.07355803273527253,0.07355803273527253,-0.1106569873109588,0.07355803273527253
pt_n_interchanges,0.001669506742729223,0.001669506742729223,-0.002393996244293228,0.001669506742729223
dur_driving,0.4937090792083111,0.4937090792083111,0.4937090792083111,-1.3417983258398865
cost_transit,0.18380877677171625,0.18380877677171625,-0.367319630566849,0.18380877677171625
cost_driving_total,0.05661891899975098,0.05661891899975098,0.05661891899975098,-0.3302145870235176

# market share
,mean
walk,0.1924499467130882
cycle,0.24386499296561315
pt,0.2779789473412711
drive,0.2857061129800334

# value of time of driving
,VOT_drive
VOT_drive,32.146015597918456

# value of time of pt
,VOT_pt
VOT_pt,7.391818381333401

