# overall_metrics
,overall
accuracy,0.6874240121580547
macro_f1_score,0.5331025115030732
macro_recall,0.5299319986565882

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.637915543575921,0.7012461390989456,0.11136890951276102,0.7155544488711819
recall,0.6063193851409052,0.6929796863488054,0.05574912891986063,0.764679794216782
f1-score,0.6217162872154116,0.6970884065643197,0.07430340557275542,0.7393019466598062
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2840,615,52,1177
cycle,702,6584,252,1963
pt,159,367,48,287
drive,751,1823,79,8621

# prob_derivative
,walk,cycle,pt,drive
age,0.00911915322443439,0.034325881229285614,0.005384303780280086,-0.04882933699427267
distance,-0.3042506184795306,0.3250718918829981,0.019447152582930737,-0.04026842862527664
dur_walking,-0.5045671258193826,0.025220686747520937,-0.07535698881637087,0.5547034247006138
dur_cycling,0.07910897449682429,0.005528242769206516,0.02021286600560959,-0.10485008440167957
dur_pt_access,0.022026601147611277,-0.06011800636335835,0.0056059346079478,0.032485469015665965
dur_pt_inv,-0.027245321357496154,-0.07563541924515979,0.019086702342738765,0.08379403963138429
dur_pt_int_total,0.016554560585719483,0.004553861309790697,-0.009719324247459594,-0.011389097625145114
pt_n_interchanges,0.009133079242749352,-0.06746486174703051,-0.010921576852709315,0.06925335850996393
dur_driving,0.00618848683127689,0.20487526478669082,0.03631976213034419,-0.2473835135709364
cost_transit,0.0290242770367845,0.004103922337992856,0.012396344184644728,-0.045524540914295
cost_driving_total,-0.022592807943328557,-0.0488124774021807,-0.014721736201265824,0.0861270207418533

# elasticity
,walk,cycle,pt,drive
age,0.053762741419367814,-0.36363811634482557,-0.33564419535835543,-0.032326502442654975
distance,-1.8198647821176852,1.4893733048047304,-1.177624263342464,-0.6281058426283403
dur_walking,-3.6116189280786997,-1.8222635531539524,-5.784599467626632,1.294015331815761
dur_cycling,0.8554239687632809,0.5922891902990534,1.421512951807173,-0.24098336425294387
dur_pt_access,0.7661765908812054,-1.262243402413874,0.10707682958834451,0.21028870188060012
dur_pt_inv,0.6522422439655718,-0.6220592531910744,0.7614711029726169,0.45449108415252343
dur_pt_int_total,-0.3620797631274139,-0.45143470592378165,-0.8623206621598858,0.10542716620058881
pt_n_interchanges,0.20100432240810331,-0.10369245107747194,0.24831643845905566,-0.0035755801458660693
dur_driving,0.4040387451546377,1.957910731845407,2.1578576981111595,-1.130491461571476
cost_transit,0.3196041902086777,0.5401381291730494,0.7926055771515357,-0.24094289909755262
cost_driving_total,-0.13814134698760056,-0.04691206708476053,-0.2868574101860694,-0.2195587432418047

# market share
,mean
walk,0.17769445478916168
cycle,0.3538333475589752
pt,0.02748892456293106
drive,0.4409792721271515

# value of time of driving
,VOT_drive
VOT_drive,-20.499751883447168

# value of time of pt
,VOT_pt
VOT_pt,-6.302720831287255

