# overall_metrics
,overall
accuracy,0.7031155015197569
macro_f1_score,0.571875954797855
macro_recall,0.5819272801648795

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6229383886255924,0.11917494270435447,0.7608796296296296,0.7651405912040375
recall,0.701537147736977,0.18118466898954705,0.6919271655615198,0.7530601383714742
f1-score,0.6599056130133547,0.14377880184331798,0.7247671021443138,0.7590523021904337
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3286,226,408,764
cycle,174,156,284,247
pt,707,625,6574,1595
drive,1108,302,1374,8490

# prob_derivative
,walk,cycle,pt,drive
age,-0.003569984463623437,-0.00945779564700218,0.014616424723396195,-0.0015886452697030805
distance,-0.08799211784088609,-0.01771079238894053,0.05368367721621305,0.05201923302248209
dur_walking,-0.07509275483878063,-0.02310344398614845,0.01556006130868871,0.08263613741833349
dur_cycling,2.4947055807289982e-05,-0.013533745406157566,0.018967949441192247,-0.005459151256967957
dur_pt_access,-0.000973554175553177,0.004250892206927745,-0.024482636087472094,0.0212052981285241
dur_pt_inv,-0.008935487934038599,0.010647136582639345,-0.009946755365233878,0.008235106570624323
dur_pt_int_total,0.007985679013393296,0.03377613208582296,-0.018849496661081107,-0.02291231453688878
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.0019010277263594997,0.01103885184929785,0.0822527509387358,-0.09519263069727887
cost_transit,0.03436956559127885,0.054400680502364865,0.002413313601999832,-0.0911835595847536
cost_driving_total,0.052916205874615,0.11667522547365353,-0.009777469493916214,-0.1598139620855807

# elasticity
,walk,cycle,pt,drive
age,-0.08197382704801807,-0.2689569070490465,0.1270218677536442,0.2941624764740004
distance,-0.052380799763635,-0.0519634033300084,0.13922849502489215,0.1003406789919781
dur_walking,-0.04025903019726392,-0.13012088593593155,0.04887114719733971,0.20247809822315366
dur_cycling,0.02437533115561158,-0.01518275655530727,0.09358680097764752,0.026350841888256326
dur_pt_access,0.032850357950626054,0.021752412881383184,-0.15371404018922266,0.18508192997218517
dur_pt_inv,0.05501363805858207,0.0662464142583862,-0.06955522543367333,0.12453392013268977
dur_pt_int_total,0.004124586499278082,0.0003723922816227732,-0.03435051653431148,0.04633279455455868
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.06164992105044819,0.08064471438308679,0.4542034863147954,-0.2408510214010888
cost_transit,0.1267440670052571,0.19270586256960825,0.1008861972502181,-0.10648087911635279
cost_driving_total,0.05201410317855448,0.14403114834016756,0.07634902681377467,-0.03072291555695103

# market share
,mean
walk,0.20234404504299164
cycle,0.14889037609100342
pt,0.31026211380958557
drive,0.3385047912597656

# value of time of driving
,VOT_drive
VOT_drive,4.840805163684866

# value of time of pt
,VOT_pt
VOT_pt,2.925333789638075

