# overall_metrics
,overall
accuracy,0.7024696048632217
macro_f1_score,0.5697940241827325
macro_recall,0.5791179514721696

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6202700133105152,0.7609982588508417,0.11627906976744187,0.7638042309071353
recall,0.6964133219470537,0.6900326281444059,0.17421602787456444,0.755809827922654
f1-score,0.6561399979885348,0.7237800839037315,0.13947001394700137,0.7597860008916629
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3262.0,409.0,237.0,776.0
cycle,709.0,6556.0,625.0,1611.0
pt,177.0,286.0,150.0,248.0
drive,1111.0,1364.0,278.0,8521.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.0032084776332716785,0.0141412318708778,-0.008931862498893854,-0.0020008920293299384
distance,-0.08221065235412463,0.05678246314926252,-0.018947993924452032,0.04437618324552649
dur_walking,-0.06810482680586188,0.014313276265210588,-0.024518302968534595,0.07830985355124072
dur_cycling,-0.0030129282912088476,0.01953674228122404,-0.013815781324150313,-0.0027080328635778798
dur_pt_access,-0.0008748332053992408,-0.024214212422407334,0.004291501675352822,0.020797544217175824
dur_pt_inv,-0.009307053112342886,-0.010088269306479795,0.011571505365633844,0.007823817161724301
dur_pt_int_total,0.005424696092889341,-0.017047244890706033,0.0355389246840175,-0.023916375934425166
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.0032984981246678997,0.07573076988713406,0.011515465310861303,-0.09054473320708527
cost_transit,0.03328947573851654,0.004006333621886551,0.053848248638682594,-0.09114405790010863
cost_driving_total,0.04844828803055306,-0.009020804265481313,0.11203122000195376,-0.15145870350202315

# elasticity
,walk,cycle,pt,drive
age,-0.07392827566594481,0.13583343533816955,-0.2624058247107208,0.2908947476574132
distance,-0.04316802303190866,0.14276706630117875,-0.05013721261050849,0.08642770414504496
dur_walking,-0.042114215594983524,0.04515099874115119,-0.12035332661856082,0.1938407635629893
dur_cycling,0.015512620636040383,0.09297393098289863,-0.038240642713991455,0.03271744545987384
dur_pt_access,0.034521220356314955,-0.15254242500848955,0.02147997538948899,0.18487494882825825
dur_pt_inv,0.050336657545051226,-0.06875566366596572,0.06790057113655625,0.11805749963215875
dur_pt_int_total,0.002655060658187781,-0.03476570939387853,-0.0017205129865456982,0.04758143631973044
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.05936691910440841,0.42140042381707293,0.09479886964389768,-0.22995193357890176
cost_transit,0.12539769772643564,0.10798264607918645,0.20274299707469617,-0.10479386904764014
cost_driving_total,0.06701173915730767,0.07239396151609738,0.15083150696111167,-0.030969757602288372

# market share
,mean
walk,0.20186954736709595
cycle,0.3100184202194214
pt,0.14873141050338745
drive,0.33938026428222656

# value of time of driving
,VOT_drive
VOT_drive,10.746944394453228

# value of time of pt
,VOT_pt
VOT_pt,4.1159573695227385

