# overall_metrics
,overall
accuracy,0.5318009118541034
macro_f1_score,0.45040636060680594
macro_recall,0.5014061552459762

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.4702947319563704,0.054602184087363496,0.6959360208911376,0.6577060931899642
recall,0.8652860802732707,0.2032520325203252,0.44879486369855803,0.48829164449175094
f1-score,0.609382047812359,0.08607968519429415,0.5456872280522139,0.5604764813683568
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,4053,217,78,336
cycle,300,175,142,244
pt,1391,1561,4264,2285
drive,2874,1252,1643,5505

# prob_derivative
,walk,cycle,pt,drive
age,-6.070665910135677e-05,-9.615341807152746e-05,-8.65778756747032e-05,-9.796857346109249e-05
distance,-5.6861883346908434e-05,-9.006366884168779e-05,-8.109458072496946e-05,-9.176386377163117e-05
dur_walking,-0.7268484299846013,0.26768890931824013,0.19148681250454722,0.2676727081618105
dur_cycling,0.2206504981177828,-0.948957549226621,0.3393442128241575,0.38896283828468525
dur_pt_access,0.16447815138375066,0.35361872944113826,-0.8903972205676505,0.37230033974275617
dur_pt_inv,0.07917192806392259,0.1702151706705988,-0.42859470453692544,0.1792076058024058
dur_pt_int_total,0.30240284342030044,0.6501490220435372,-1.6370481368371361,0.6844962713733148
pt_n_interchanges,-0.025614793888696686,-0.05507035915478099,0.1386648688110322,-0.057979715767553806
dur_driving,0.24971389346634462,0.4402224533606558,0.4043548899412144,-1.0942912367682092
cost_transit,0.010243051745432571,0.02202198233228374,-0.05545043355323614,0.02318539947551918
cost_driving_total,0.008305625408237953,0.01464204791793788,0.013449072461375102,-0.03639674578755066

# elasticity
,walk,cycle,pt,drive
age,-0.017511017626373082,-0.016718073324034702,-0.015948843002705156,-0.015831412319498805
distance,-2.3553770262288634,-1.9383693573119933,-1.4138167797750036,-1.748499457152188
dur_walking,-7.343733069854234,0.4398411233686307,0.4398411233686307,0.4398411233686307
dur_cycling,0.45285222776581624,-1.6024735112329653,0.45285222776581624,0.45285222776581624
dur_pt_access,0.2598228864600425,0.2598228864600425,-0.6742163850814743,0.2598228864600425
dur_pt_inv,0.27469669934506546,0.27469669934506546,-0.4650916857447537,0.27469669934506546
dur_pt_int_total,0.18773788854820403,0.18773788854820403,-0.3006707695941875,0.18773788854820403
pt_n_interchanges,-0.14161114902343971,-0.14161114902343971,0.20447925010856569,-0.14161114902343971
dur_driving,0.47472514956965073,0.47472514956965073,0.47472514956965073,-1.3142139135580302
cost_transit,0.18667565858488894,0.18667565858488894,-0.39171037232768907,0.18667565858488894
cost_driving_total,0.05781538786238317,0.05781538786238317,0.05781538786238317,-0.34529155247900967

# market share
,mean
walk,0.20411291753073219
cycle,0.24193540140274064
pt,0.27420795594092356
drive,0.27974372512560264

# value of time of driving
,VOT_drive
VOT_drive,30.065633976060205

# value of time of pt
,VOT_pt
VOT_pt,7.72933008946532

