# overall_metrics
,overall
accuracy,0.6975303951367782
macro_f1_score,0.559241524562157
macro_recall,0.571637538850587

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.5716400723803257,0.10886319845857419,0.781187374749499,0.7606738568499867
recall,0.7418872758326217,0.13124274099883856,0.6564572150299969,0.7569629235408906
f1-score,0.6457307442162965,0.11901000526592943,0.7134114955676293,0.758813853198773
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3475.0,193.0,290.0,726.0
cycle,208.0,113.0,292.0,248.0
pt,1026.0,527.0,6237.0,1711.0
drive,1370.0,205.0,1165.0,8534.0

# prob_derivative
,walk,cycle,pt,drive
age,0.003677184463639741,0.023904555883365448,0.012721906168023402,-0.040303646367078914
distance,-0.19986378433317736,0.07571381291816273,0.07528993466796367,0.0488600358602365
dur_walking,-0.337817591653827,-0.24540458220857467,0.16315602129417878,0.4200661470264201
dur_cycling,-0.017293152514642366,-0.007670591869287285,0.05062914652881333,-0.02566540264645615
dur_pt_access,-0.0050344205709630385,0.03364945057424906,-0.06078367844185313,0.03216864843908372
dur_pt_inv,-0.0288505239302895,0.07139411396570053,-0.06437118352943887,0.021827594722966377
dur_pt_int_total,0.13746614691027376,0.24879687071366458,-0.1357827340107101,-0.2504802825965747
pt_n_interchanges,-0.08414138831068108,-0.1825991872774712,0.06728827814108199,0.19945229509626589
dur_driving,0.015851697389827918,0.05187649329951694,0.13448697276066052,-0.2022151594733566
cost_transit,0.047233352359190316,-0.04540488230303406,-0.03663464808405175,0.03480617720088601
cost_driving_total,0.12464806075203165,0.2073784397124789,-0.0470291719691676,-0.2849973259897103

# elasticity
,walk,cycle,pt,drive
age,-0.17123184712802586,-0.5840262158978218,0.1856333393133626,0.24552271592319977
distance,-0.246620658547352,0.7109363966998705,0.21114904573706436,-0.07117351614341308
dur_walking,-2.304548111331165,-3.378519561491073,0.27765383619310646,1.0985976500283998
dur_cycling,0.06939296518990773,0.1669569858577005,0.22024636515224405,-0.10781505158620766
dur_pt_access,0.09314612460243668,0.2957964652305187,-0.5551141249557843,0.25950418286262966
dur_pt_inv,0.04275184416921586,0.3955044491360882,-0.37508432711357387,0.172010083369081
dur_pt_int_total,0.1284997210343613,0.3158412995937322,-0.11070351308566939,0.017756788730807643
pt_n_interchanges,-0.49867439695608323,-0.7807962666924024,0.03304835864583585,0.15665849940882148
dur_driving,0.056214638721156195,0.5626139481832007,0.7143567683541794,-0.7709777598947712
cost_transit,-0.16116287413469124,-0.5329852428819752,-0.01721240447436654,0.07510783904940416
cost_driving_total,0.05767071284193354,-0.11388852658148876,0.16813937882282376,-0.026862989059414085

# market share
,mean
walk,0.2039979100227356
cycle,0.10944437980651855
pt,0.3141089677810669
drive,0.372446209192276

# value of time of driving
,VOT_drive
VOT_drive,13.67734576774144

# value of time of pt
,VOT_pt
VOT_pt,15.095712241472809

