# overall_metrics
,overall
accuracy,0.6913753799392097
macro_f1_score,0.5591835316997731
macro_recall,0.5699431258033978

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6115718418514947,0.09486404833836858,0.7742586750788644,0.755776720034617
recall,0.6769854824935952,0.18234610917537747,0.6458267550784128,0.7746141564662055
f1-score,0.6426182997264162,0.12480127186009538,0.7042350510731092,0.7650795041394717
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3171,247,305,961
cycle,180,157,259,265
pt,875,894,6136,1596
drive,959,357,1225,8733

# prob_derivative
,walk,cycle,pt,drive
age,0.005935223608659157,0.03492103054508352,-0.003752942164644254,-0.037103312997599065
distance,-0.1842219537527541,0.10575496179937517,0.05750071604121859,0.020966277714156094
dur_walking,-0.2958255084202356,-0.2952058440446861,0.16991810535871116,0.4211132455774109
dur_cycling,-0.027171770003895715,0.011482034150627917,0.06106760766243071,-0.04537787152832849
dur_pt_access,0.0018937253448837368,0.04509189976163118,-0.0697675838912616,0.022781958537867113
dur_pt_inv,-0.036272911617338,0.07050640461663367,-0.06349141563391958,0.029257923596871706
dur_pt_int_total,0.13826065466679816,0.24603889993991543,-0.1317248307436865,-0.252574721604634
pt_n_interchanges,-0.08729423221994796,-0.15330294870654707,0.05137042113286106,0.18922675850594037
dur_driving,0.013139501766644851,0.04697856811105192,0.15082641680464887,-0.2109444849988166
cost_transit,0.04507884871050038,-0.03246945646281149,-0.047161421347979286,0.03455202750228968
cost_driving_total,0.10286425029761503,0.2201015568658666,-0.05968996669057104,-0.26327583823814554

# elasticity
,walk,cycle,pt,drive
age,-0.15569297079859484,-0.585963501016435,0.06679327608406024,0.26520648868141494
distance,-0.2947764486211046,0.867378736572892,0.1633034364818252,-0.11191028500576623
dur_walking,-1.7955206660569347,-3.198284860707774,0.31005811617414497,1.160696123084009
dur_cycling,-0.02480675216009121,0.15468139585644836,0.26685716905216667,-0.23428125699524294
dur_pt_access,0.16528146341329264,0.3541712853667139,-0.6115150589775655,0.15822570986472084
dur_pt_inv,0.0189663983710496,0.3869169717525591,-0.3471306366914319,0.15441040789102947
dur_pt_int_total,0.10090976459018454,0.315991189074778,-0.14154902456186405,-0.0019588175537832817
pt_n_interchanges,-0.2427590425025292,-0.5684798546312637,0.015500617289602479,0.19965717760713853
dur_driving,0.11448738385776452,0.47662735285760716,0.7956717341873872,-0.8256525313119538
cost_transit,-0.2711284276759542,-0.4887702984725367,-0.010472582118365355,0.10065246608443952
cost_driving_total,-0.02466780396558068,-0.169867685881579,0.15134378957107858,-0.01211283095510011

# market share
,mean
walk,0.1855238378047943
cycle,0.13754861056804657
pt,0.30766409635543823
drive,0.3692607581615448

# value of time of driving
,VOT_drive
VOT_drive,16.030125990136142

# value of time of pt
,VOT_pt
VOT_pt,20.223063841331513

