# overall_metrics
,overall
accuracy,0.7033814589665653
macro_f1_score,0.5641617933150814
macro_recall,0.5727391175743767

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6072016084810821,0.7727050183598532,0.10341880341880341,0.7608827873837866
recall,0.7092228864218617,0.664456373013367,0.140534262485482,0.7767429483767961
f1-score,0.6542589857213196,0.7145039895874596,0.11915312653865091,0.7687310714128955
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3322,331,205,826
cycle,854,6313,672,1662
pt,195,281,121,264
drive,1100,1245,172,8757

# prob_derivative
,walk,cycle,pt,drive
age,-0.00015726862271422585,0.008501862982909761,0.003718756115282849,-0.012063350718917168
distance,-0.07453675834600815,0.0512003256144797,-0.014470019284274377,0.037806451663772556
dur_walking,-0.08079481618491705,0.015176261826909563,-0.02280215609128868,0.08842071042048809
dur_cycling,-0.0025519388801734963,0.028102485487940265,-0.015877469241483484,-0.009673077215768155
dur_pt_access,-0.0008775713713113886,-0.025165593196985622,0.004090299216201263,0.02195286556683772
dur_pt_inv,-0.011536566844690463,-0.010509246144582747,0.015210663668109596,0.006835149515947135
dur_pt_int_total,0.01365438894466004,-0.026648881861442947,0.047689176248334984,-0.03469468374250965
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.006055336702769392,0.0783518810719182,0.00745828271776957,-0.09186550092669908
cost_transit,0.03638714489476651,-0.007999926347858306,0.057388866162309246,-0.08577608470147469
cost_driving_total,0.07864635756078646,-0.03522367300113908,0.1293484122928532,-0.17277109763111365

# elasticity
,walk,cycle,pt,drive
age,-0.05983663680383154,0.11771443800944462,-0.1708742848732271,0.23644158475022856
distance,-0.05668290809203163,0.1346632467152781,-0.04959167415638204,0.07240368574559104
dur_walking,-0.0682161395440056,0.040042453233485785,-0.12940946253122365,0.21739760586542398
dur_cycling,0.0022251862518248315,0.12416231955044327,-0.048505261102684154,0.021952935754637203
dur_pt_access,0.02235971853009597,-0.15966018914904628,-0.0029123506420793187,0.18094433288215492
dur_pt_inv,0.04530967507296205,-0.07184895252334579,0.06254312295853401,0.11645494637477907
dur_pt_int_total,0.0018146755103677105,-0.039886370287045336,0.019807121018401683,0.03938128654100881
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.06858021186757471,0.45747914125363326,0.08158945420498603,-0.24051759313724883
cost_transit,0.12523003521149326,0.09870820043534971,0.20353337247376913,-0.11368074713456039
cost_driving_total,0.10446924036303767,0.06890635167724846,0.19159521282309522,-0.047057230784543415

# market share
,mean
walk,0.20306231081485748
cycle,0.2917325496673584
pt,0.15615175664424896
drive,0.34905216097831726

# value of time of driving
,VOT_drive
VOT_drive,9.210857789996972

# value of time of pt
,VOT_pt
VOT_pt,10.978773144819701

