# overall_metrics
,overall
accuracy,0.5319908814589666
macro_f1_score,0.4506408090287078
macro_recall,0.5017769387474815

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.4705677464298154,0.05494848579456759,0.6959503592423253,0.65763723150358
recall,0.8652860802732707,0.20441347270615565,0.44858435954110093,0.48882384246939864
f1-score,0.6096111904940964,0.08661417322834646,0.5455359999999999,0.5608018723923884
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,4053,217,78,336
cycle,300,176,141,244
pt,1391,1559,4262,2289
drive,2869,1251,1643,5511

# prob_derivative
,walk,cycle,pt,drive
age,-4.719625915527389e-06,-7.4822815021234774e-06,-6.738046036652032e-06,-7.624140196708416e-06
distance,-4.2968284527853324e-05,-6.811997523850608e-05,-6.134432780193919e-05,-6.941148114612899e-05
dur_walking,-0.7261811087154512,0.26762956417816053,0.1913199051812703,0.26723163935601496
dur_cycling,0.2200748526008658,-0.9466899043657421,0.3384628790699912,0.3881521726948893
dur_pt_access,0.164687757322638,0.35430384879391974,-0.8924265906079625,0.3734349844914111
dur_pt_inv,0.07911914224324867,0.17021433205346811,-0.4287387691219944,0.17940529482527673
dur_pt_int_total,0.30142246028217934,0.6484704116875346,-1.6333783575381602,0.6834854855684356
pt_n_interchanges,-0.0257686924255721,-0.055437921149661326,0.13963798341564798,-0.058431369840414166
dur_driving,0.24791637476564982,0.4379081474317986,0.4024678370802934,-1.0882923592777454
cost_transit,0.010170776001257095,0.02188107447116768,-0.05511442440045675,0.023062573928031734
cost_driving_total,0.008323334781654475,0.014701957940996633,0.013512114921953866,-0.036537407644604857

# elasticity
,walk,cycle,pt,drive
age,-0.0013623495075669365,-0.001300219477748415,-0.0012405405751789555,-0.0012311661914462077
distance,-1.7808265983585825,-1.4657472030174863,-1.06890327110727,-1.321403530393945
dur_walking,-7.340986942083491,0.43906817117617436,0.43906817117617436,0.43906817117617436
dur_cycling,0.4512594010189246,-1.5982318267822397,0.4512594010189246,0.4512594010189246
dur_pt_access,0.2600683628192338,0.2600683628192338,-0.6755539120531517,0.2600683628192338
dur_pt_inv,0.2746383462165519,0.2746383462165519,-0.4649672257926845,0.2746383462165519
dur_pt_int_total,0.18764882182633105,0.18764882182633105,-0.29938083889673556,0.18764882182633105
pt_n_interchanges,-0.1428427296203698,-0.1428427296203698,0.20547323872533857,-0.1428427296203698
dur_driving,0.472393335735877,0.472393335735877,0.472393335735877,-1.3057954826425588
cost_transit,0.18570103932556203,0.18570103932556203,-0.38884500025272173,0.18570103932556203
cost_driving_total,0.058035608521939876,0.058035608521939876,0.058035608521939876,-0.3464146521243175

# market share
,mean
walk,0.20392093279646994
cycle,0.24199915547760947
pt,0.2742051900220577
drive,0.2798747217038614

# value of time of driving
,VOT_drive
VOT_drive,29.78570263833273

# value of time of pt
,VOT_pt
VOT_pt,7.779066438339529

