# overall_metrics
,overall
accuracy,0.7027355623100304
macro_f1_score,0.5626252574444418
macro_recall,0.5706090862192518

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6068800588668138,0.10094909404659189,0.7722941607622771,0.7589912470751365
recall,0.7043125533731853,0.13588850174216027,0.665403641721924,0.7768316480397375
f1-score,0.6519762845849802,0.11584158415841585,0.7148753321648669,0.7678078288695043
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3299.0,215.0,339.0,831.0
cycle,191.0,117.0,286.0,267.0
pt,841.0,655.0,6322.0,1683.0
drive,1105.0,172.0,1239.0,8758.0

# prob_derivative
,walk,cycle,pt,drive
age,0.0005110746284924449,0.0040276764808323245,0.0075210267814105475,-0.012059777901727966
distance,-0.07185797144562242,-0.015067846770248378,0.05154157659591558,0.03538424154863809
dur_walking,-0.0860387921700362,-0.022013477802631513,0.01822662719478083,0.08982564255134629
dur_cycling,-0.001493424177098806,-0.014156610584769075,0.02140011177901949,-0.005750076909735922
dur_pt_access,-0.0009419897792381438,0.003996868206067663,-0.024733713813280416,0.021678835410409242
dur_pt_inv,-0.009868313441655242,0.014045705387754877,-0.011698198244517413,0.007520805963929131
dur_pt_int_total,0.012028092306486394,0.05130657061558759,-0.027463660813345576,-0.03587100201532462
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.003663818854635325,0.0070055817501674,0.08638248033787771,-0.0970518814174791
cost_transit,0.03601632138729355,0.06000875616007222,-0.009820463313293568,-0.0862046145045757
cost_driving_total,0.0812400928005656,0.12683734395104762,-0.029659120619199144,-0.1784183156874768

# elasticity
,walk,cycle,pt,drive
age,-0.05249491625056998,-0.16780500685581837,0.11504008094275034,0.23654331965703038
distance,-0.04566616389661075,-0.05273601691724742,0.1336478006652604,0.07004023667941074
dur_walking,-0.07130857414947846,-0.1136232169946996,0.04785291043709017,0.21874518827548708
dur_cycling,0.007544862873459207,-0.04560657857987732,0.09601215689888686,0.030373078327589325
dur_pt_access,0.019376294138333604,-0.0016407304335702526,-0.15920221645127125,0.17832464392255423
dur_pt_inv,0.04512598374122672,0.06020037534945718,-0.07368472392121286,0.11608376779453392
dur_pt_int_total,0.0012014720916854926,0.021148365520097204,-0.04135654978745311,0.03895923160851376
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.0669056781386581,0.06915745831435505,0.5089668728524032,-0.24364231617472648
cost_transit,0.12080232384904982,0.20906481271250768,0.08231933848075952,-0.11025307491217308
cost_driving_total,0.09326502511300419,0.16386708655414037,0.07302749567466783,-0.04945743349430289

# market share
,mean
walk,0.2030414491891861
cycle,0.15535147488117218
pt,0.29221341013908386
drive,0.34939441084861755

# value of time of driving
,VOT_drive
VOT_drive,9.522667517041242

# value of time of pt
,VOT_pt
VOT_pt,-7.285926463209262

