# overall_metrics
,overall
accuracy,0.6212386018237082
macro_f1_score,0.46749303462875663
macro_recall,0.478947455187159

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.602365960694524,0.0,0.7532263690268574,0.5783642880417074
recall,0.67399658411614,0.0,0.45458372802862856,0.7872095086038673
f1-score,0.6361712846347607,0.0,0.5669839186084674,0.6668169352717983
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,3157,0,127,1400
cycle,148,0,200,513
pt,625,0,4319,4557
drive,1311,0,1088,8875

# prob_derivative
,walk,cycle,pt,drive
age,-1.1667411451668717e-08,-3.5479083728982485e-09,-2.3030787922808453e-08,-2.6666228362406466e-08
distance,6.170679557298414e-05,1.8764235544877326e-05,0.000121805605992769,0.00014103278255659575
dur_walking,-0.7602380781400639,0.03205590626274045,0.26241874652587366,0.4657634253514513
dur_cycling,0.019945474258022438,-0.14384136908075376,0.051514322257827094,0.07238157256490374
dur_pt_access,0.1636911649767236,0.05164426078264415,-0.9360828397817096,0.7207474140223403
dur_pt_inv,0.0741842660792415,0.02340499918801471,-0.4242294840314209,0.32664021876416355
dur_pt_int_total,0.16754310329617308,0.05285954022131593,-0.9581104999871107,0.7377078564696251
pt_n_interchanges,-0.0013094458062934567,-0.0004131277378994512,0.007488185138579276,-0.005765611594386352
dur_driving,0.33316365148528826,0.08321161247189189,0.8265039648854112,-1.2428792288425825
cost_transit,0.005389238242151815,0.0017002947302443819,-0.03081884986700999,0.023729316894613627
cost_driving_total,0.007745475184269375,0.0019345251997652214,0.019214779046816247,-0.028894779430850684

# elasticity
,walk,cycle,pt,drive
age,-4.3460861550710776e-06,-5.066499239025865e-06,-3.387533542967431e-06,-2.8282337077624307e-06
distance,3.2027240532708143,3.2466499450191972,1.6229691116598128,1.895263529874015
dur_walking,-9.634769575300393,0.3941562897260558,0.3941562897260558,0.3941562897260558
dur_cycling,0.04602024256979839,-1.9530027359254734,0.04602024256979839,0.04602024256979839
dur_pt_access,0.3123214525926518,0.3123214525926518,-0.5616586080121508,0.3123214525926518
dur_pt_inv,0.2936197394071349,0.2936197394071349,-0.3581098759352561,0.2936197394071349
dur_pt_int_total,0.11632234032330216,0.11632234032330216,-0.1380930642591106,0.11632234032330216
pt_n_interchanges,-0.007907147551110317,-0.007907147551110317,0.008727192672592383,-0.007907147551110317
dur_driving,0.7133037725146172,0.7133037725146172,0.7133037725146172,-1.0540541741287535
cost_transit,0.12300983354270516,0.12300983354270516,-0.1631015756049039,0.12300983354270516
cost_driving_total,0.06784305170552701,0.06784305170552701,0.06784305170552701,-0.21051902291277327

# market share
,mean
walk,0.16565157528708158
cycle,0.027658698430517548
pt,0.35049737363565436
drive,0.4561923526467427

# value of time of driving
,VOT_drive
VOT_drive,43.01397184280189

# value of time of pt
,VOT_pt
VOT_pt,13.765260087967688

