# overall_metrics
,overall
accuracy,0.6785714285714286
macro_f1_score,0.4957623065526749
macro_recall,0.4904559544124572

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6869331541820625,0.16,0.6800790904597133,0.6774927910153286
recall,0.4365926558497011,0.009291521486643438,0.724029049573729,0.7919105907397552
f1-score,0.5338728625505809,0.01756311745334797,0.7013662316476346,0.7302470145591362
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2045,8,831,1800
cycle,110,8,414,329
pt,478,23,6879,2121
drive,344,11,1991,8928

# prob_derivative
,walk,cycle,pt,drive
age,0.0015409896049368983,0.005036022684842202,0.08006880496807409,-0.08664581975688376
distance,-0.31463137370734473,-0.008204975374351112,0.3165285712719176,0.0063077779273711925
dur_walking,-0.49446149542337586,-0.03705754636543234,0.03578555608149174,0.49573348839830833
dur_cycling,0.07204930647322982,0.02199339983795784,0.054195607680085266,-0.14823831397446902
dur_pt_access,0.03582434998925007,0.0027508572896824627,-0.07663612319949853,0.038060917452614106
dur_pt_inv,0.009952445628145913,0.01432912958441172,-0.11280815477581911,0.08852658154597783
dur_pt_int_total,0.03841545044555612,-0.005229821086175077,-0.029866056564987968,-0.003319573705616548
pt_n_interchanges,0.004544468616003276,-0.006161631329672515,-0.07680521996396707,0.07842238288787545
dur_driving,-0.010438023078413305,0.007724629765890699,0.27138080837554207,-0.26866741860066784
cost_transit,0.03563478214369157,0.0063811630555334585,-0.06084152632973854,0.018825579963473258
cost_driving_total,0.005193019669589411,-0.0021103373928771044,-0.03386226922367841,0.03077958686722226

# elasticity
,walk,cycle,pt,drive
age,0.09862767612321668,0.3257425415968924,0.34560510268375333,-0.27314956578748106
distance,-1.841627165536509,-1.4824064733482734,0.9752068414604645,-0.6065763176046615
dur_walking,-3.594166151071043,-4.691151522210886,-1.4086252926803258,1.1621377597169393
dur_cycling,1.3847004008760873,2.3725024093182703,0.7626604362070444,-0.20123872576920138
dur_pt_access,0.48636172386184945,-0.2702979444203383,-1.1331133408326288,0.41143970408790703
dur_pt_inv,0.6596377029854299,0.7096303017151556,-0.7888789185936798,0.5207308049717584
dur_pt_int_total,-0.2653326223746726,-0.6043399030061061,-0.3561706776522472,0.06904463087729866
pt_n_interchanges,0.27518286767005706,0.31839824850888715,-0.08914468655080034,0.02552711044587891
dur_driving,0.11142389050697296,1.0400100487004087,1.9558430053221225,-1.299441678021466
cost_transit,0.3867146387589157,0.5959053930000519,0.10354949628457999,-0.19011109917898866
cost_driving_total,-0.10200090145771551,-0.03988544116825051,0.030367682595724643,-0.3631079930585559

# market share
,mean
walk,0.13195247948169708
cycle,0.014013215899467468
pt,0.380767285823822
drive,0.4732654094696045

# value of time of driving
,VOT_drive
VOT_drive,-4.252143694081042

# value of time of pt
,VOT_pt
VOT_pt,12.518090691086126

