# overall_metrics
,overall
accuracy,0.7302431610942249
macro_f1_score,0.5418543542078864
macro_recall,0.5453755446976871

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6783118405627198,0.7535044209618288,0.0,0.730693998904624
recall,0.6176345004269855,0.7355015261551415,0.0,0.8283661522086216
f1-score,0.6465526874511118,0.7443941411451398,0.0,0.7764705882352942
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2893.0,585.0,0.0,1206.0
cycle,563.0,6988.0,0.0,1950.0
pt,175.0,400.0,0.0,286.0
drive,634.0,1301.0,0.0,9339.0

# prob_derivative
,walk,cycle,pt,drive
age,0.008313282141860523,0.01482842885887008,0.0001716071145367403,-0.0233133173682535
distance,-0.3280082769094286,0.194383952186411,-0.0029962502473565886,0.13662057459765556
dur_walking,-0.3792412595746479,0.04710470389443206,-0.01814512612819599,0.3502816808427887
dur_cycling,-0.034171526355250524,0.05629712889089709,0.006608910237646161,-0.028734513600642067
dur_pt_access,-5.482535631871187e-05,-0.05743550379462404,0.003458628521268712,0.05403170189832065
dur_pt_inv,-0.03222313259173824,-0.03120586087250912,0.004473052121463754,0.05895594080005811
dur_pt_int_total,0.02211313649458796,-0.04991592400986887,-1.3332545558370761e-05,0.02781612005525214
pt_n_interchanges,0.013793745343912308,-0.02028756664819597,0.0012566145499119709,0.005237206953944226
dur_driving,0.0544886753180815,0.19379768717988383,0.020084801726086194,-0.26837116603603195
cost_transit,0.040027975524815046,-0.049897085088029064,0.005581071330653467,0.004288038375247512
cost_driving_total,0.021593791172869133,0.024593824043130357,0.0027347162845752877,-0.04892233179958445

# elasticity
,walk,cycle,pt,drive
age,-0.08612548888613432,-0.22480051183740266,-0.3060994891941056,0.24222229466224032
distance,-0.9687050917756788,0.3889301804763588,-0.3892531951526075,-0.0448167183717277
dur_walking,-1.3934301617908598,-0.2658905121865159,-0.8663126369577315,0.6002136552370549
dur_cycling,0.02952190063883145,0.2662501198941856,0.19636260760915208,-0.09111905547850233
dur_pt_access,0.22362499576526926,-0.5653066886434273,0.15336338856362364,0.32937516848784476
dur_pt_inv,0.04838625401617164,-0.27366197219920274,0.08157017133583577,0.23759004605245662
dur_pt_int_total,-0.02818234719460716,-0.09541576135702837,-0.053247345953823154,0.06618319819529814
pt_n_interchanges,0.013061877771317492,-0.023633493043157434,0.008194855091676358,0.04804948668223171
dur_driving,0.3299871702141455,0.9270923458823935,0.5196677555281956,-0.7935282416275473
cost_transit,0.272697554163598,-0.15804645139404735,0.18088168707109625,-0.03471650132283676
cost_driving_total,0.08217772953962688,0.044316210338332204,0.04344668841886375,-0.11479319673945783

# market share
,mean
walk,0.17166753113269806
cycle,0.3587447702884674
pt,0.030550632625818253
drive,0.4390381872653961

# value of time of driving
,VOT_drive
VOT_drive,94.11574383728214

# value of time of pt
,VOT_pt
VOT_pt,-4.771205343882992

