# overall_metrics
,overall
accuracy,0.7329407294832827
macro_f1_score,0.5434204496527153
macro_recall,0.5456940383861918

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6943562179330565,0.0,0.7485175772977551,0.7337870609403113
recall,0.6067463706233988,0.0,0.7440269445321545,0.8320028383892141
f1-score,0.6476016862253617,0.0,0.7462655054103985,0.7798146069751007
support,4684.0,861.0,9501.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2842,0,644,1198
cycle,152,0,418,291
pt,518,0,7069,1914
drive,581,0,1313,9380

# prob_derivative
,walk,cycle,pt,drive
age,-0.0007208679126679698,0.0015605869095487704,0.015655046206364844,-0.016494765500537648
distance,-0.06507449346260617,0.007580784769585068,0.03450139971874106,0.022992308782493996
dur_walking,-0.07216431105060916,0.003138044645680235,-0.0003745880388024979,0.06940085437172366
dur_cycling,0.004978096767981369,0.004986005600640494,0.011413039611697947,-0.021377142237250395
dur_pt_access,0.0015763717675562378,0.003114956082581821,-0.030675827743496486,0.025984500004556446
dur_pt_inv,-0.001729095264697028,0.004725798821459995,-0.014045241880567431,0.011048538128092143
dur_pt_int_total,0.0019885554296839025,0.0010049712331762024,-0.01684175665252495,0.01384823008777239
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.020146556490850585,0.013666370258005883,0.11132559357015294,-0.14513852024789228
cost_transit,0.016553823825873917,0.008361277706129464,0.0029964636107174657,-0.027911565145351196
cost_driving_total,0.018822866303586046,0.00040762743851855505,0.00729842883527124,-0.02652892284391445

# elasticity
,walk,cycle,pt,drive
age,-0.04776669127004553,-0.027169426037047348,0.1100184254360242,0.1600547307796759
distance,-0.027083712166681248,0.0740616206914665,0.07583472745220575,0.042763878465295425
dur_walking,-0.03418273849536781,-0.003679305053771569,-0.007343673524866901,0.16095363269506005
dur_cycling,0.05409939605573381,0.08127785256287677,0.06480184318916439,0.013260137516590198
dur_pt_access,0.05067053667523861,0.06847642897181594,-0.18455548872923624,0.18818780624817288
dur_pt_inv,0.0555423395813048,0.0652255143808702,-0.08355973256953309,0.1416498685194638
dur_pt_int_total,0.007366385925497088,0.0120475423135663,-0.047561899141426146,0.058185618518044054
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.11881736246166812,0.1995707117132161,0.6441243180945769,-0.29583119819101467
cost_transit,0.0785807810529271,0.11866667354237469,0.1056199777739123,-0.05888488965089189
cost_driving_total,0.03817964720841706,0.04497723281228541,0.03912784446087651,0.019959629435201284

# market share
,mean
walk,0.18151873350143433
cycle,0.06469124555587769
pt,0.3428020179271698
drive,0.41098836064338684

# value of time of driving
,VOT_drive
VOT_drive,28.78195225171193

# value of time of pt
,VOT_pt
VOT_pt,-31.711341861054812

