# overall_metrics
,overall
accuracy,0.7335866261398177
macro_f1_score,0.5441962204274816
macro_recall,0.5466612225537445

# class_specific_metrics
,walk,cycle,pt,drive
precision,0.6945321992709598,0.7485485062810093,0.0,0.7350769714106189
recall,0.6101622544833475,0.7463424902641826,0.0,0.8301401454674473
f1-score,0.6496192749176044,0.7474438705597134,0.0,0.7797217362326085
support,4684.0,9501.0,861.0,11274.0

# confusion_matrix
,walk,cycle,pt,drive
walk,2858.0,641.0,0.0,1185.0
cycle,516.0,7091.0,0.0,1894.0
pt,156.0,411.0,0.0,294.0
drive,585.0,1330.0,0.0,9359.0

# prob_derivative
,walk,cycle,pt,drive
age,-0.0006830259395724438,0.015536367371796351,0.0015787819331863678,-0.016432123306937062
distance,-0.06531086152410429,0.03487105719030341,0.00698994417214752,0.023449860179451103
dur_walking,-0.07291752756453643,-0.0016078113952713786,0.0025330911395290137,0.07199224790747302
dur_cycling,0.004851738515166374,0.014309539348525843,0.003205312048044097,-0.02236658998274918
dur_pt_access,0.0020175814183752633,-0.03244807444562139,0.0033418293626818994,0.027088663568119627
dur_pt_inv,-0.0014640055221155255,-0.014991934445314888,0.0048274539939661566,0.011628486129104344
dur_pt_int_total,0.001814293273128057,-0.01783295884125813,0.001206079731388341,0.01481258556280082
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.022004882889210535,0.10426946583713516,0.014561604289685866,-0.14083595282344724
cost_transit,0.016391438233776656,0.004643244552921179,0.0075567973828651516,-0.02859148017344821
cost_driving_total,0.019283904205483874,0.01059499693817643,-0.0005641979952053704,-0.02931470336124501

# elasticity
,walk,cycle,pt,drive
age,-0.046284466902330526,0.10239539916622431,-0.030443685320162697,0.1586065011458725
distance,-0.03031984291718136,0.07724005133914982,0.05929385612155424,0.04134355197664075
dur_walking,-0.035736814188519254,-0.013318135474324148,-0.010533488534231944,0.16386229206362127
dur_cycling,0.04937847275504537,0.0789214936892601,0.05769445483825077,0.009947460952488546
dur_pt_access,0.06018376849092807,-0.19335032299930863,0.07330139849981475,0.1949485920800227
dur_pt_inv,0.059321444405225375,-0.08717081628782557,0.06662202576902777,0.14505442574826902
dur_pt_int_total,0.009719571837514226,-0.05013924652746258,0.015134813988420698,0.06140566671620591
pt_n_interchanges,0.0,0.0,0.0,0.0
dur_driving,0.130859829285173,0.5951276419481095,0.22304353222824422,-0.2910062777045079
cost_transit,0.07709323659695719,0.11886324705392937,0.10719733749115193,-0.060225524468848414
cost_driving_total,0.03514336749968446,0.04413447230643527,0.03492537834131631,0.020442506703145798

# market share
,mean
walk,0.1815974861383438
cycle,0.3428395092487335
pt,0.0647570788860321
drive,0.4108055830001831

# value of time of driving
,VOT_drive
VOT_drive,-19.460169088594757

# value of time of pt
,VOT_pt
VOT_pt,44.29281452036016

