,data,method,accuracy,macro_f1_score,macro_recall,f1_walk,f1_cycle,f1_pt,f1_drive,VOT_drive,VOT_pt,market_share_walk,market_share_pt,market_share_cycle,market_share_drive
1.1_RandomUnderSampler_10_MNL_mean,1.1_RandomUnderSampler,MNL,0.5335866261398177,0.4573851954514384,0.5048261628760923,0.62562874251497,0.084322033898305,0.5500703414758921,0.5695196639165866,56.53164645168194,7.982786891862588,0.1918454209952595,0.2477778164487342,0.2779621770296511,0.2824145855263569
1.1_RandomUnderSampler_1_MNL_mean,1.1_RandomUnderSampler,MNL,0.5322568389057751,0.4556543968607306,0.5044839817544687,0.6242189353792612,0.087034144164249,0.5555694149931397,0.5557950929062724,47.43528833827664,5.282537216720238,0.1931794479703202,0.2466761737091628,0.2810266495568782,0.2791177287636377
1.1_RandomUnderSampler_2_MNL_mean,1.1_RandomUnderSampler,MNL,0.5373100303951368,0.4574844229515954,0.5026670048048336,0.6249105794451951,0.0814056939501779,0.5460701960018234,0.5775512224091854,36.30823439129467,9.519373559557112,0.1912945414724713,0.2477115821286007,0.2771273539832416,0.2838665224156833
1.1_RandomUnderSampler_3_MNL_mean,1.1_RandomUnderSampler,MNL,0.5415273556231003,0.461417418170706,0.5057312387205889,0.6283876156011259,0.0835969272480795,0.5572480324955572,0.5764370973380613,41.6556189234379,7.866519568203205,0.1907367332541354,0.2464192462953926,0.2809696605730087,0.2818743598774637
1.1_RandomUnderSampler_4_MNL_mean,1.1_RandomUnderSampler,MNL,0.5345744680851063,0.4545779079420816,0.5002392102686424,0.620830070477682,0.0785188489850546,0.5462354395783171,0.5727272727272726,37.535844714042895,8.494427201874004,0.1954235279341095,0.2464691735408034,0.2779631821920968,0.2801441163329868
1.1_RandomUnderSampler_5_MNL_mean,1.1_RandomUnderSampler,MNL,0.5348784194528875,0.4559679570823635,0.5027288730698672,0.621978021978022,0.0816143497757847,0.5558797412152734,0.5643997153603741,40.24645110160549,7.435716458645463,0.1940248377741678,0.2463249998186934,0.2806597041636458,0.2789904582434908
1.1_RandomUnderSampler_6_MNL_mean,1.1_RandomUnderSampler,MNL,0.5368161094224924,0.4565835648131501,0.5021852166242196,0.624405705229794,0.0825165260998404,0.5444430068572907,0.5749690210656754,41.24019085173472,7.551482421152595,0.1935849612900437,0.2447330307956864,0.2780839272523053,0.2835980806619672
1.1_RandomUnderSampler_7_MNL_mean,1.1_RandomUnderSampler,MNL,0.5344604863221885,0.4568097339306669,0.5039370934933791,0.6238256887976632,0.0824742268041237,0.5584358246609903,0.5625031954598905,39.0182021645999,7.488983599449911,0.1935926407895323,0.245790002434626,0.2813589054852182,0.2792584512906236
1.1_RandomUnderSampler_8_MNL_mean,1.1_RandomUnderSampler,MNL,0.5345744680851063,0.4555476758361221,0.5020655040292358,0.6239607253147517,0.0838621940163191,0.5450334534225425,0.5693343305908751,31.427251866359445,6.248903625790087,0.1925695410071154,0.2472338549665932,0.2764721429915504,0.2837244610347393
1.1_RandomUnderSampler_9_MNL_mean,1.1_RandomUnderSampler,MNL,0.5338145896656535,0.456105130263175,0.5038157490788406,0.6229327453142227,0.0837373292199206,0.5531208075129368,0.56462963900562,37.0358378051856,7.682374727973904,0.1942575656816832,0.2471681667827156,0.2771516944953868,0.2814225730402148
