,mode
73912,0
42895,0
26735,3
47821,1
77888,0
40152,3
11150,3
37277,1
78589,3
24207,3
26481,3
14194,3
57814,3
8270,3
75013,0
63619,1
63795,3
1956,3
433,3
25222,1
30626,0
29078,3
29891,3
20153,3
50122,3
3242,1
16018,0
34805,3
58669,1
79805,1
70656,0
73345,0
32698,1
25424,0
13876,1
8750,3
80283,1
12913,1
53342,0
55465,1
23866,1
5897,0
63998,1
39202,1
57882,0
65269,1
39354,3
34167,1
81029,0
23611,3
7110,1
51519,3
37036,1
1824,0
75180,3
10538,3
77937,3
50129,1
74217,0
56610,0
72304,1
58369,3
28029,3
56576,3
69991,3
18647,1
15294,1
37176,3
24981,0
43982,1
74492,0
18790,3
13676,3
25690,1
21771,3
43028,3
28723,3
2286,3
31483,1
27635,0
31714,3
5428,1
1518,0
11141,3
12586,3
330,3
62867,3
68925,2
53827,1
10590,2
29563,1
25200,0
21354,3
10708,1
68719,0
76426,1
28413,3
60087,1
31813,3
57286,3
27325,1
67671,3
59578,3
49266,1
15750,1
72170,3
18775,3
68862,3
35642,3
53191,2
26868,1
74034,0
42182,0
26106,3
5907,0
77348,3
21406,2
57030,1
2562,3
60371,3
3186,3
43691,3
46639,1
64296,3
49995,0
80027,0
33819,0
29115,1
75430,1
484,3
78800,3
48341,0
39463,1
76659,0
16028,0
44734,3
26910,3
34479,0
36985,3
60925,3
44265,3
6884,0
56454,1
51213,0
74747,0
53576,3
9722,3
60489,1
356,3
21992,0
24341,3
49310,1
37209,3
43990,1
5491,0
17471,3
9385,3
42486,1
40208,3
65157,1
76135,3
23532,0
19948,0
75995,3
38643,3
27595,3
21081,3
10572,0
14603,1
29322,3
63338,2
64876,3
23842,3
53320,1
43721,3
68468,2
35889,1
40687,1
1879,3
15255,1
24572,1
79180,3
74154,3
79219,1
23496,3
30963,3
54887,1
38053,1
70674,3
17714,1
13712,0
77940,0
37925,3
63982,3
15818,0
41946,2
63074,3
76802,3
49994,1
40897,1
62830,3
62236,1
16635,0
68343,0
46484,1
63336,3
25802,3
28116,1
446,1
38960,1
50482,0
32082,1
36421,1
32974,0
29282,2
8388,3
22208,0
44295,1
58493,1
62010,0
25827,2
2679,1
26625,1
1751,3
42854,1
52987,3
22561,1
38601,1
21945,0
8844,0
69704,1
77618,1
70807,1
49243,0
31622,1
40064,0
36351,3
77118,3
62725,1
54130,1
1422,1
29923,3
17190,3
59571,3
19534,1
67931,0
46048,3
23353,1
47660,3
52649,3
45948,1
51068,3
13080,1
1764,3
49935,0
21076,3
74525,1
29521,1
46320,3
25865,3
40237,1
74680,1
75841,3
31637,3
79570,3
1633,1
59256,3
67932,1
34740,3
